"title","rating","replacement_cost","n","inventory_value","inventory_pct"
"Lock Rear","R","10.99","4","43.96","0.04746214122275906800"
"Stock Glass","PG","10.99","4","43.96","0.04746214122275906800"
"Super Wyoming","PG","10.99","4","43.96","0.04746214122275906800"
"Tootsie Pilot","PG","10.99","4","43.96","0.04746214122275906800"
"Translation Summer","PG-13","10.99","4","43.96","0.04746214122275906800"
"Turn Star","G","10.99","4","43.96","0.04746214122275906800"
"Bubble Grosse","R","20.99","2","41.98","0.04532440146795781800"
"Darling Breaking","PG-13","20.99","2","41.98","0.04532440146795781800"
"Diary Panic","G","20.99","2","41.98","0.04532440146795781800"
"Dozen Lion","NC-17","20.99","2","41.98","0.04532440146795781800"
"Fever Empire","R","20.99","2","41.98","0.04532440146795781800"
"Gone Trouble","R","20.99","2","41.98","0.04532440146795781800"
"Holy Tadpole","R","20.99","2","41.98","0.04532440146795781800"
"Impact Aladdin","PG-13","20.99","2","41.98","0.04532440146795781800"
"Intolerable Intentions","PG-13","20.99","2","41.98","0.04532440146795781800"
"Madigan Dorado","R","20.99","2","41.98","0.04532440146795781800"
"Maude Mod","R","20.99","2","41.98","0.04532440146795781800"
"Wonderful Drop","NC-17","20.99","2","41.98","0.04532440146795781800"
"Autumn Crow","G","13.99","3","41.97","0.04531360480252952900"
"Darko Dorado","NC-17","13.99","3","41.97","0.04531360480252952900"
"Mighty Luck","PG","13.99","3","41.97","0.04531360480252952900"
"Prix Undefeated","R","13.99","3","41.97","0.04531360480252952900"
"Rollercoaster Bringing","PG-13","13.99","3","41.97","0.04531360480252952900"
"Scissorhands Slums","G","13.99","3","41.97","0.04531360480252952900"
"Cassidy Wyoming","NC-17","19.99","2","39.98","0.04316506838229999000"
"Elf Murder","NC-17","19.99","2","39.98","0.04316506838229999000"
"Halloween Nuts","PG-13","19.99","2","39.98","0.04316506838229999000"
"Magic Mallrats","PG","19.99","2","39.98","0.04316506838229999000"
"Miracle Virtual","PG-13","19.99","2","39.98","0.04316506838229999000"
"Mystic Truman","NC-17","19.99","2","39.98","0.04316506838229999000"
"Speed Suit","PG-13","19.99","2","39.98","0.04316506838229999000"
"Treatment Jekyll","PG","19.99","2","39.98","0.04316506838229999000"
"Daisy Menagerie","G","9.99","4","39.96","0.04314347505144341200"
"Dude Blindness","G","9.99","4","39.96","0.04314347505144341200"
"Edge Kissing","NC-17","9.99","4","39.96","0.04314347505144341200"
"Factory Dragon","PG-13","9.99","4","39.96","0.04314347505144341200"
"Gandhi Kwai","PG-13","9.99","4","39.96","0.04314347505144341200"
"Gunfighter Mussolini","PG-13","9.99","4","39.96","0.04314347505144341200"
"Notorious Reunion","NC-17","9.99","4","39.96","0.04314347505144341200"
"Paths Control","PG","9.99","4","39.96","0.04314347505144341200"
"Pluto Oleander","R","9.99","4","39.96","0.04314347505144341200"
"Purple Movie","R","9.99","4","39.96","0.04314347505144341200"
"Theory Mermaid","PG-13","9.99","4","39.96","0.04314347505144341200"
"Thin Sagebrush","PG-13","9.99","4","39.96","0.04314347505144341200"
"Ace Goldfinger","G","12.99","3","38.97","0.04207460517404278700"
"Bright Encounters","PG-13","12.99","3","38.97","0.04207460517404278700"
"Cranes Reservoir","NC-17","12.99","3","38.97","0.04207460517404278700"
"Feathers Metal","PG-13","12.99","3","38.97","0.04207460517404278700"
"Hoosiers Birdcage","G","12.99","3","38.97","0.04207460517404278700"
"Jeopardy Encino","R","12.99","3","38.97","0.04207460517404278700"
"Maker Gables","PG-13","12.99","3","38.97","0.04207460517404278700"
"Oleander Clue","PG","12.99","3","38.97","0.04207460517404278700"
"Shining Roses","G","12.99","3","38.97","0.04207460517404278700"
"Stranger Strangers","G","12.99","3","38.97","0.04207460517404278700"
"Unfaithful Kill","R","12.99","3","38.97","0.04207460517404278700"
"Wisdom Worker","R","12.99","3","38.97","0.04207460517404278700"
"Fire Wolves","R","18.99","2","37.98","0.04100573529664216100"
"Ghostbusters Elf","R","18.99","2","37.98","0.04100573529664216100"
"Mannequin Worst","PG-13","18.99","2","37.98","0.04100573529664216100"
"Menagerie Rushmore","G","18.99","2","37.98","0.04100573529664216100"
"Punk Divorce","PG","18.99","2","37.98","0.04100573529664216100"
"Dumbo Lust","NC-17","17.99","2","35.98","0.03884640221098433300"
"Grail Frankenstein","NC-17","17.99","2","35.98","0.03884640221098433300"
"Phantom Glory","NC-17","17.99","2","35.98","0.03884640221098433300"
"Runaway Tenenbaums","NC-17","17.99","2","35.98","0.03884640221098433300"
"Rushmore Mermaid","PG-13","17.99","2","35.98","0.03884640221098433300"
"Tequila Past","PG","17.99","2","35.98","0.03884640221098433300"
"Vanished Garden","R","17.99","2","35.98","0.03884640221098433300"
"Massage Image","PG","11.99","3","35.97","0.03883560554555604400"
"Pet Haunting","PG","11.99","3","35.97","0.03883560554555604400"
"Saints Bride","G","11.99","3","35.97","0.03883560554555604400"
"Terminator Club","R","11.99","3","35.97","0.03883560554555604400"
"Vampire Whale","NC-17","11.99","3","35.97","0.03883560554555604400"
"Vision Torque","PG-13","16.99","2","33.98","0.03668706912532650500"
"Dolls Rage","PG-13","10.99","3","32.97","0.03559660591706930100"
"Ending Crowds","NC-17","10.99","3","32.97","0.03559660591706930100"
"Finding Anaconda","R","10.99","3","32.97","0.03559660591706930100"
"Lucky Flying","PG-13","10.99","3","32.97","0.03559660591706930100"
"Mile Mulan","PG","10.99","3","32.97","0.03559660591706930100"
"Mulan Moon","G","10.99","3","32.97","0.03559660591706930100"
"Nuts Ties","NC-17","10.99","3","32.97","0.03559660591706930100"
"October Submarine","PG-13","10.99","3","32.97","0.03559660591706930100"
"Potluck Mixed","G","10.99","3","32.97","0.03559660591706930100"
"Saddle Antitrust","PG-13","10.99","3","32.97","0.03559660591706930100"
"Trainspotting Strangers","PG-13","10.99","3","32.97","0.03559660591706930100"
"Clerks Angels","G","15.99","2","31.98","0.03452773603966867600"
"Duck Racer","NC-17","15.99","2","31.98","0.03452773603966867600"
"Hardly Robbers","R","15.99","2","31.98","0.03452773603966867600"
"Oklahoma Jumanji","PG","15.99","2","31.98","0.03452773603966867600"
"Panic Club","G","15.99","2","31.98","0.03452773603966867600"
"Seven Swarm","R","15.99","2","31.98","0.03452773603966867600"
"Braveheart Human","PG-13","14.99","2","29.98","0.03236840295401084800"
"Bulworth Commandments","G","14.99","2","29.98","0.03236840295401084800"
"Frontier Cabin","PG-13","14.99","2","29.98","0.03236840295401084800"
"Full Flatliners","PG","14.99","2","29.98","0.03236840295401084800"
"Legally Secretary","PG","14.99","2","29.98","0.03236840295401084800"
"Park Citizen","PG-13","14.99","2","29.98","0.03236840295401084800"
"Youth Kick","NC-17","14.99","2","29.98","0.03236840295401084800"
"North Tequila","NC-17","9.99","3","29.97","0.03235760628858255900"
"Opposite Necklace","PG","9.99","3","29.97","0.03235760628858255900"
"Valentine Vanishing","PG-13","9.99","3","29.97","0.03235760628858255900"
"Blood Argonauts","G","13.99","2","27.98","0.03020906986835301900"
"Bunch Minds","G","13.99","2","27.98","0.03020906986835301900"
"Duffel Apocalypse","G","13.99","2","27.98","0.03020906986835301900"
"Dwarfs Alter","G","13.99","2","27.98","0.03020906986835301900"
"Glory Tracy","PG-13","13.99","2","27.98","0.03020906986835301900"
"Haunted Antitrust","NC-17","13.99","2","27.98","0.03020906986835301900"
"Heavenly Gun","NC-17","13.99","2","27.98","0.03020906986835301900"
"Jumanji Blade","G","13.99","2","27.98","0.03020906986835301900"
"Ladybugs Armageddon","NC-17","13.99","2","27.98","0.03020906986835301900"
"Mulholland Beast","PG","13.99","2","27.98","0.03020906986835301900"
"Traffic Hobbit","G","13.99","2","27.98","0.03020906986835301900"
"World Leathernecks","PG-13","13.99","2","27.98","0.03020906986835301900"
"Hawk Chill","PG-13","12.99","2","25.98","0.02804973678269519100"
"President Bang","PG","12.99","2","25.98","0.02804973678269519100"
"Soup Wisdom","R","12.99","2","25.98","0.02804973678269519100"
"Antitrust Tomatoes","NC-17","11.99","2","23.98","0.02589040369703736300"
"Apocalypse Flamingos","R","11.99","2","23.98","0.02589040369703736300"
"Elizabeth Shane","NC-17","11.99","2","23.98","0.02589040369703736300"
"Jungle Closer","NC-17","11.99","2","23.98","0.02589040369703736300"
"Killer Innocent","R","11.99","2","23.98","0.02589040369703736300"
"Pizza Jumanji","NC-17","11.99","2","23.98","0.02589040369703736300"
"Records Zorro","PG","11.99","2","23.98","0.02589040369703736300"
"Tarzan Videotape","PG-13","11.99","2","23.98","0.02589040369703736300"
"Untouchables Sunrise","NC-17","11.99","2","23.98","0.02589040369703736300"
"Cowboy Doom","PG","10.99","2","21.98","0.02373107061137953400"
"Harold French","NC-17","10.99","2","21.98","0.02373107061137953400"
"Mussolini Spoilers","G","10.99","2","21.98","0.02373107061137953400"
"Platoon Instinct","PG-13","10.99","2","21.98","0.02373107061137953400"
"Sling Luke","R","10.99","2","21.98","0.02373107061137953400"
"Warlock Werewolf","G","10.99","2","21.98","0.02373107061137953400"
"Zhivago Core","NC-17","10.99","2","21.98","0.02373107061137953400"
"Control Anthem","G","9.99","2","19.98","0.02157173752572170600"
"Life Twisted","NC-17","9.99","2","19.98","0.02157173752572170600"
"Matrix Snowman","PG-13","9.99","2","19.98","0.02157173752572170600"
"Papi Necklace","PG","9.99","2","19.98","0.02157173752572170600"
"Young Language","G","9.99","2","19.98","0.02157173752572170600"
