id,name,type,city,subcountry,country
3635,international association of independent tanker owners,ngo,oslo,,norway
3636,international association of marine aids to navigation and lighthouse authorities,ngo,saint-germain-en-laye,,france
3637,international association of ports and harbours,ngo,antwerp,,belgium
3638,international association of public transport,ngo,brussels,,belgium
3639,international association of scientific technical and medical publishers,ngo,oxford,,united kingdom
3640,international association of sedimentologists,ngo,gent,,belgium
3641,international association of universities,ngo,paris,,france
3642,international association of world peace advocates,ngo,abuja,,nigeria
3643,international atomic energy agency,un,vienna,,austria
3644,international baby food action network,ngo,geneva,,switzerland
3645,international budget partnership,ngo,washington dc,,united states
3646,international business leaders forum,ngo,london,,united kingdom
3647,international cable protection committee,ngo,lymington,,united kingdom
3648,international cartographic association,ngo,glumslöv,,sweden
3649,international center for advanced mediterranean agronomic studies,intergov,paris,,france
3650,international center for agricultural research in dry areas,sci,beirut,,lebanon
3651,international center for climate change and development,sci,dhaka,,bangladesh
3652,international center for comparative environmental law,ngo,limoges,,france
3653,international center for diplomacy,ngo,rabat,,morocco
3654,international center for economic policy for sustainable development,acad,heredia,,costa rica
3655,"international center for energy, environment and development",ngo,abuja,,nigeria
3656,international center for environmental management of enclosed coastal seas,sci,kobe,,japan
3657,international center for integrated mountain development,intergov,patan,,indonesia
3658,international center for research in agroforestry,sci,nairobi,,kenya
3659,international center for sustainable cities,ngo,vancouver,,canada
3660,international center for the study of the preservation and restoration of cultural property,intergov,rome,,italy
3661,international center for trade and sustainable devleopment,ngo,geneva,,switzerland
3662,international center for tropical agriculture,ngo,palmira,,colombia
3663,international center for water management services,ngo,Willisau,,switzerland
3664,international center of emergency medicine,ngo,ithari,,nepal
3665,"international center of research and information on the public, social and cooperative economy",sci,liege,,belgium
3666,international center of resources and innovation for the sustainable development,ngo,saint etienne,,france
3667,international center tropical agriculture,sci,cali,,colombia
3668,international chamber of commerce,ngo,paris,,france
3669,international chamber of shipping,ngo,london,,united kingdom
3670,international christian volunteer organization,ngo,bergamo,,italy
3671,international city managers associations,ngo,washington dc,,united states
3672,international city/county municipal association,ngo,washington dc,,united states
3673,international civil aviation organization,un,montreal,,canada
3674,international collective in support of fishworkers,ngo,chennai,,india
3675,international commission for the protection of the alps,ngo,schaan,,liechtenstein
3676,international commission for the protection of the danube river,intergov,vienna,,austria
3677,international committee for the development of peoples,ngo,rome,,italy
3678,international confederation of midwives,ngo,koninginnegracht,,netherlands
3679,international consortium of landscape and ecological engineering,ngo,tokyo,,japan
3680,international consortium of landslides,ngo,kyoto,,japan
3681,international cooperation and development agency,ngo,lima,,peru
3682,international cooperation and development fund,priv,taipei,,taiwan
3683,international cooperative alliance,ngo,geneva,,switzerland
3684,international coordinating council for aerospace industries associations,ngo,brussels,,belgium
3685,international copper association,ngo,washington dc,,united states
3686,international coral reef action network,ngo,cambridge,,united kingdom
3687,international coral reef initiative,ngo,townsville,,australia
3688,international corporation services,priv,kuala lumpur,,malaysia
3689,international council for clean transport,ngo,washington dc,,united states
3690,international council for game and wildlife conservation,ngo,budakeszi,,hungary
3691,international council for local environmental initiatives,ngo,bonn,,germany
3692,international council for science,ngo,paris,,france
3693,international council for the exploration of the sea,intergov,copenhagen,,denmark
3694,international council of aids service organizations,ngo,toronto,,united states
3695,international council of chemical associations,ngo,washington dc,,united states
3696,international council of nurses,ngo,geneva,,switzerland
3697,international council of scientific unions,ngo,paris,,france
3698,international council of tanners,ngo,northampton,,united kingdom
3699,international council on clean transportation,ngo,washington dc,,united states
3700,international council on monuments and sites,ngo,paris,,france
3701,international council on social welfare,ngo,bronx,,united states
3702,international crops research institute for the semi-arid tropics,sci,patancheru,,india
3703,international culture university,acad,dhaka,,bangladesh
3704,international curricula educators association,ngo,joppa,,united kingdom
3705,international dairy federation,ngo,brussels,,belgium
3706,international debate education association netherlands,ngo,utrecht,,netherlands
3707,international dental manufacturers,ngo,frankfurt,,germany
3708,international development information organization,ngo,shanghai,,china
3709,international development law organization,intergov,rome,,italy
3710,international development research center,sci,ottawa,,canada
3711,international dialogue on underwater munitions,ngo,the hague,,netherlands
3712,international economic cooperation institute,ngo,milan,,italy
3713,international ecotourism society,ngo,alexandria,,united states
3714,international education and research network,ngo,callus,,spain
3715,international egg commission,ngo,church stretton,,united kingdom
3716,international emissions trading association,ngo,geneva,,switzerland
3717,international energy agency,intergov,paris,,france
3718,international energy initiative,ngo,bangalore,,india
3719,international entrepreneurship sustainability association,ngo,lisbon,,portugal
3720,international environment forum,ngo,geneva,,switzerland
3721,international environmental finance,priv,lima,,peru
3722,international eurasia press fund,ngo,baku,,azerbaijan
3723,international federation for animal health,ngo,brussels,,belgium
3724,international federation for cell biology,ngo,campinas,,brazil
3725,international federation for parent education,ngo,sèvres,,france
3726,international federation for spina bifda and hydrocephalus,ngo,brussels,,belgium
3727,international federation of agricultural producers,ngo,paris,,france
3728,international federation of anti-leprosy associations,ngo,geneva,,switzerland
3729,international federation of business and professional women,ngo,cairo,,egypt
3730,international federation of consulting engineers,ngo,geneva,,switzerland
3731,international federation of dental educators and associations,ngo,dublin,,ireland
3732,international federation of gynecology and obstetrics,ngo,london,,united kingdom
3733,international federation of hard of hearing people,ngo,berlin,,germany
3734,international federation of housing and planning,ngo,copenhagen,,denmark
3735,international federation of intellectual property attorneys,ngo,basel,,switzerland
3736,international federation of library associations and institutions,ngo,the hague,,netherlands
3737,international federation of medical students' associations,ngo,amsterdam,,netherlands
3738,international federation of mercosur trade chambers,ngo,buenos aires,,argentina
3739,international federation of organic agriculture movements,ngo,bonn,,germany
3740,international federation of pharmaceutical manufacturers and associations,ngo,geneva,,switzerland
3741,international federation of surveyors,ngo,copenhagen,,denmark
3742,international feed industry federation,ngo,cheltenham,,united kingdom
3743,international fertilizer development center,sci,muscle shoals,,united states
3744,international fertilizer industry association,ngo,paris,,france
3745,international festivals and events association,ngo,boise,,united states
3746,international financial consulting,priv,ottawa,,canada
3747,international fisheries foundation,ngo,panama city,,panama
3748,international food policy research institute,ngo,washington dc,,united states
3749,international fund for agricultural development,un,rome,,italy
3750,international fund for animal welfare,ngo,yarmouth port,,united states
3751,international geothermal association,ngo,bochum,,germany
3752,international gorilla conservation programme,ngo,kigali,,rwanda
3753,international green economy association,ngo,beijing,,china
3754,international health awareness network,ngo,new york city,,united states
3755,international hotel and restaurant association,ngo,lausanne,,switzerland
3756,international human rights association for american minorities,ngo,nanaimo,,canada
3757,international humanitarian partnership,intergov,london,,united kingdom
3758,international hydrographic organization,intergov,monte carlo,,monaco
3759,international hydropower association,ngo,london,,united kingdom
3760,international indian treaty council,ngo,tuscon,,united states
3761,international indigenous forum on biodiversity,ngo,montreal,,canada
3762,international initiative for impact evaluation,ngo,new delhi,,india
3763,international institute for administrative science,ngo,brussels,,belgium
3764,international institute for applied systems analysis,sci,laxenburg,,austria
3765,international institute for democracy and electoral assistance,ngo,stockholm,,sweden
3766,international institute for energy conservation,ngo,centerville,,united states
3767,international institute for environment and development,ngo,london,,united kingdom
3768,international institute for geo-information science and earth observation,acad,enschede,,netherlands
3769,international institute for sustainable development,ngo,winnipeg,,canada
3770,international institute for sustainable future,ngo,mumbai,,india
3771,international institute for water and environmental engineering,acad,ouagadougou,,burkina faso
3772,international institute of business,acad,kiev,,ukraine
3773,international institute of industrial ecology and green economy,ngo,geneva,,switzerland
3774,international institute of international relations prague,sci,prague,,czech republic
3775,international institute of tropical agriculture,sci,ibidan,,nigeria
3776,international institute-association of regional ecological problems,ngo,lviv,,ukraine
3777,international institution for environment and development,ngo,london,,united kingdom
3778,international investment bank,intergov,moscow,,russia
3779,international labour organization,un,geneva,,switzerland
3780,international lake environment committee,ngo,Kusatsu,,japan
3781,international land coalition,ngo,rome,,italy
3782,international liaison aang serian,ngo,arusha,,tanzania
3783,international livestock research institute,sci,nairobi,,kenya
3784,international long-term ecological research network,sci,san jose,,costa rica
3785,international maize and wheat improvement center,sci,el batan,,mexico
3786,international management institute of st. petersburg,acad,saint petersburg,,russia
3787,international maritime organisation,un,london,,united kingdom
3788,international maritime university of panama,acad,panama city,,panama
3789,international meat secretariat,ngo,paris,,france
3790,international medical corp,ngo,los angeles,,united states
3791,international mine water association,ngo,Wendelstein,,Germany
3792,international mineralogical association,ngo,sendai,,japan
3793,international model forest network secretariat,ngo,ottawa,,canada
3794,international monetary fund,intergov,washington dc,,united states
3795,international mountaineering and climbing federation,ngo,bern,,switzerland
3796,international movement against all forms of discrimination and racism,ngo,toyko,,japan
3797,international movement of catholic students,ngo,paris,,france
3798,"international network for children's health, environment and safety",ngo,dieren,,netherlands
3799,international network for environmental compliance and enforcement,ngo,washington dc,,united states
3800,international network for scientific investigation of deep-sea ecosystems,sci,southampton,,united kingdom
3801,international network of basin organizations,intergov,paris,,france
3802,"international network on children's health, environment and safety",ngo,dieren,,netherlands
3803,international network on gender and sustainable energy,ngo,the hague,,netherlands
3804,international network on small hydropower,ngo,Hangzhou,,china
3805,international nitrogen initiative,sci,vienna,,austria
3806,international ocean carbon coordination project,sci,sopot,,poland
3807,international ocean institute,ngo,msida,,malta
3808,international office for water,ngo,valbonne,,france
3809,international olympic committee,ngo,lausanne,,switzerland
3810,international organization for biological control of noxious animals and plants,ngo,zurich,,switzerland
3811,international organization for migration,ngo,Grand-Saconnex,,Switzerland
3812,international organization for standardization,ngo,geneva,,switzerland
3813,international organization of automobile manufacturers,ngo,paris,,france
3814,international organization of employers,ngo,geneva,,switzerland
3815,international organization of francophonie,ngo,paris,,france
3816,international organization of hydrological sciences,ngo,potsdam,,germany
3817,international parternship for microbicides,ngo,silver spring,,united states
3818,international partners for sustainable agriculture,ngo,new york city,,united states
3819,international partnership for blue carbon,ngo,canberra,,australia
3820,international partnership for energy efficiency cooperation,ngo,paris,,france
3821,international peace foundation,ngo,lanham,,united kingdom
3822,international peat society,ngo,Jyvaskyla,,Finland
3823,international pediatric association,ngo,webster groves,,united states
3824,international permaculture convergence,ngo,hyderabad,,india
3825,international permafrost association,ngo,Longyearbyen,,Norway
3826,international petroleum industry environmental conservation association,ngo,london,,united kingdom
3827,international pharmaceutical federation,ngo,the hague,,netherlands
3828,international planned parenthood federation,ngo,london,,united kingdom
3829,international planning committee for food sovereignty,ngo,rome,,italy
3830,international plant nutrition institute,ngo,peachtree corners,,united states
3831,international pole and line foundation,ngo,london,,united kingdom
3832,international pop's elimination network,ngo,goteburg,,sweden
3833,international potato center,sci,lima,,peru
3834,international poultry council,ngo,stone mountain,,united states
3835,international programme on the state of the oceans,ngo,west sussex,,united kingdom
3836,international rangers federation,ngo,south melbourne,,australia
3837,international red cross and red crescent movement,ngo,geneva,,switzerland
3838,international regional organization for agricultural health,ngo,san salvador,,el salvador
3839,international renewable energy agency,intergov,abu dhabi,,united arab emirates
3840,international research and training centre for rural education,sci,beijing,,china
3841,international rice research institute,sci,los banos,,philippines
3842,international river foundation,ngo,brisbane,,australia
3843,international rivers network,ngo,oakland,,united states
3844,international road assessment programme,ngo,london,,united kingdom
3845,international road federation,ngo,washington dc,,united states
3846,international road transport union,ngo,geneva,,switzerland
3847,international sakharov environmental university,acad,minsk,,belarus
3848,international school for social and business studies,acad,celje,,slovenia
3849,international scientific and professional advisory council of the united nations crime prevention and criminal justice programme,un,milano,,italy
3850,international scientific committee on research in the alps,sci,bern,,switzerland
3851,international seabed authority,un,kingston,,jamaica
3852,international seafood sustainability foundation,ngo,washington dc,,united states
3853,international secretariat for water,ngo,montreal,,canada
3854,international society for animal genetics,ngo,champagne,,united states
3855,international society for industrial ecology,ngo,new haven,,united states
3856,international society for photogrammetry and remote sensing,ngo,athens,,united states
3857,international society for urban health,ngo,new york city,,united states
3858,international society of biometeorology,ngo,norfolk,,united states
3859,international society of city and regional planners,ngo,the hague,,netherlands
3860,international society of doctors for the environment,ngo,basel,,switzerland
3861,international society of indoor air quality and climate,ngo,herndon,,united states
3862,international society of matrix biology,ngo,bern,,switzerland
3863,international solar energy society,ngo,freiburg im breisgau,,germany
3864,international solar energy society italy,ngo,rome,,italy
3865,international solid waste association,ngo,vienna,,austria
3866,international standardization organization / tech. cttee 211,ngo,stockholm,,sweden
3867,international statistics institute,ngo,Voorburg,,Netherlands
3868,international steering committee for global mapping,intergov,tsukuba,,japan
3869,international strategic thinking center,ngo,bogota,,colombia
3870,international student environmental coalition,ngo,los angeles,,united states
3871,international sustainable campus network,ngo,boston,,united states
3872,international sustainable development research network,sci,huddersfield,,united kingdom
3873,international technical association of tropical timber,ngo,nogent-sur-marne,,france
3874,international telecommunication satellite organisation,intergov,washington dc,,united states
3875,international telecommunication union,un,geneva,,switzerland
3876,international touring alliance,ngo,geneva,,switzerland
3877,international trachoma initiative,ngo,decautur,,united states
3878,international trade center,un,geneva,,switzerland
3879,international trade union confederation,ngo,brussels,,belgium
3880,international transport workers' federation,ngo,london,,united kingdom
3881,international tropical timber organization,intergov,yokohama,,japan
3882,international truck and engine,priv,warrenville,,united states
3883,international union for conservation of nature,ngo,gland,,switzerland
3884,international union for land value taxation,ngo,london,,united kingdom
3885,international union for the study of social insects,ngo,cleveland,,united states
3886,International Union of Geodesy and Geophysics,ngo,potsdam,,germany
3887,international union of geosciences,ngo,bejing,,china
3888,international union of nature conservation,ngo,gland,,switzerland
3889,international union of railways,intergov,paris,,france
3890,international university hcmc,acad,Ho Chi Minh City,,Vietnam
3891,international university of business agriculture and technology,acad,dhaka,,bangladesh
3892,international university of monaco,acad,monaco,,monaco
3893,international urban development association,ngo,paris,,france
3894,"international utility efficiency partnerships, inc",ngo,washington dc,,united states
3895,international volunteer hq,ngo,new plymouth,,united states
3896,international water association,ngo,london,,united kingdom
3897,international water center,ngo,brisbane,,australia
3898,international water management institute,sci,colombo,,sri lanka
3899,international water resources association,ngo,paris,,france
3900,international whaling commission,intergov,impington,,united kingdom
3901,international women's council,ngo,paris,,france
3902,international women's development agency,ngo,melbourne,,australia
3903,"international women's volunteering, education, development",ngo,rome,,italy
3904,international wool and textiles organization,ngo,brussels,,belgium
3905,international year of light - 2015,un,trieste,,italy
3906,international youth council,ngo,new york city,,united states
3907,international youth foundation,ngo,baltimore,,united states
3908,international youth organism for iberoamerica,ngo,madrid,,spain
3909,international youth parliament network,ngo,sydney,,australia
3910,international-disability alliance,ngo,geneva,,switzerland
3911,internationale gesamtschule heidelberg,acad,heidelberg,,germany
3912,international-fund-for-animal-welfare,ngo,yarmouth port,,united states
3913,internet child safety foundation,ngo,nouvelle france,,mauritius
3914,internews,ngo,arcata,,united states
3915,inter-parliamentary union,ngo,geneva,,switzerland
3916,interpol,intergov,lyon,,france
3917,interregional union of life help for mentally handicapped persons sail of hope,ngo,moscow,,russia
3918,inter-reseaux developpment rural,sci,paris,,france
3919,intersos,ngo,rome,,italy
3920,interstate traveler company,priv,brighton,,united states
3921,intgr coalition marocaine pour la justice climatique,ngo,rabat,,morocco
3922,inuvialuit regional corporation,ngo,inuvik,,canada
3923,inve aquaculture,priv,dendermonde,,belgium
3924,investhill group,ngo,kampala,,uganda
3925,iod parc ltd,priv,sheffield,,united kingdom
3926,iolani school,acad,honolulu,,united states
3927,iowa state university,acad,ames,,united states
3928,ipag business school,acad,paris,,france
3929,ipas,ngo,chapel hill,,united states
3930,ipedagogy,priv,greater faridabad,,india
3931,ipen-iee-ecoforum,ngo,moscow,,russia
3932,IPEx Cleantech Asia,priv,singapore,,singapore
3933,ipswich shellfish group,priv,ipswich,,united states
3934,iran,natgov,tehran,,iran
3935,iran sustainable development academy,ngo,tehran,,iran
3936,iraq,natgov,baghdad,,iraq
3937,iraq builders,ngo,baghdad,,iraq
3938,iraq medical association,ngo,baghdad,,iraq
3939,irc international water and sanitation centre,ngo,the hague,,netherlands
3940,ircam consultora ambiental,priv,florida,,argentina
3941,ireland,natgov,dublin,,ireland
3942,irish marine institute,sci,oranmore,,ireland
3943,irish week,ngo,dublin,,ireland
3944,irkutsk state university,acad,irkutsk,,russia
3945,isabellaivvy ventures,priv,lagos,,nigeria
3946,isae (higher institute of adminstration and economy),acad,curitiba,,brazil
3947,isea,ngo,pavlos,,greece
3948,isenim,ngo,karakalpakstan,,uzbekistan
3949,isglobal,priv,barcelona,,spain
3950,"ishikawajima-harima heavy industries co., ltd.",priv,tokyo,,japan
3951,ishishini business association secondary cooperative,priv,troyeville,,south africa
3952,islamic development bank,intergov,jeddah,,saudi arabia
3953,"islamic educational, scientific and cultural organization",intergov,fes,,morocco
3954,islamic relief,ngo,massy,,france
3955,island conservation,ngo,santa cruz,,united states
3956,island development and environmental awareness soceity,ngo,male,,maldives
3957,island research center and observatory of the environment,sci,perpignan,,france
3958,island resources foundation,ngo,washington dc,,united states
3959,islands development company,priv,victoria,,seychelles
3960,isotech,priv,nicosia,,cyprus
3961,israel,natgov,jerusalem,,israel
3962,israel electric company,priv,haifa,,israel
3963,israel institute of technology,acad,haifa,,israel
3964,issf,ngo,washington dc,,united states
3965,issykkul state university,acad,karakol,,kazakhstan
3966,istanbul bilgi university,acad,istanbul,,turkey
3967,istanbul kemerburgaz university,acad,istanbul,,turkey
3968,istanbul university,acad,istanbul,,turkey
3969,it step academy,priv,kiev,,ukraine
3970,itaipu binacional,priv,parana,,brazil
3971,italcementi group,priv,bergamo,,italy
3972,italian association friends of raoul follereau,ngo,bologna,,italy
3973,italian botanical company,ngo,florence,,italy
3974,italian lay center for missions,ngo,milan,,italy
3975,italian marine biology society,ngo,genoa,,italy
3976,italian national federation of unesco clubs,ngo,turin,,italy
3977,italian national institute for environmental protection and research,sci,rome,,italy
3978,italian national research council,sci,rome,,italy
3979,italian post,priv,rome,,italy
3980,italian statistic society,ngo,rome,,italy
3981,italian trade union confederation workers,ngo,rome,,italy
3982,italy,natgov,rome,,italy
3983,itapo,subgov,itapo,,brazil
3984,i-taukei institute of language and culture,ngo,suva,,fiji
3985,itc,priv,kolkata,,india
3986,itech mission,priv,new delhi,,india
3987,itpower,priv,puducherry,,india
3988,itron,priv,liberty lake,,united states
3989,itt motions technologies,priv,white plains,,united states
3990,iveco,priv,turin,,italy
3991,ivedix,priv,pitsford,,united states
3992,iviye,subgov,iviye,,belarus
3993,ivory coast agricultural family schools program,ngo,yakro,,cote d'ivoire
3994,j. hunter fiji pearls,priv,savusavu,,fiji
3995,"j.j. mcdonnell and co., inc.",priv,elkridge,,united states
3996,jaco society,ngo,yaounde,,cameroon
3997,jacob u.k ltd,priv,stretton,,united kingdom
3998,jacobs,priv,dallas,,united states
3999,jacobs engineering group,priv,dallas,,united states
4000,jacobs foundation,ngo,zurich,,switzerland
4001,jagaran media centre,ngo,kathmandu,,nepal
4002,jagrata juba shangha,ngo,khulna,,indonesia
4003,jaipur,subgov,jaipur,,india
4004,jalisco,subgov,Guadalajara,,mexico
4005,jamabeco,ngo,jambiani,,zanzibar
4006,jamaica,natgov,kingston,,jamaica
4007,james cook university,acad,townsville,,australia
4008,james michel foundation,ngo,victoria,,seychelles
4009,jan de nul group,priv,aalst,,belgium
4010,jana utthan pratisthan,ngo,kathmandu,,nepal
4011,jane goodall institute,ngo,vienna,,united states
4012,japan,natgov,toyko,,japan
4013,japan agency for marine-earth science and technology,sci,yokosuka,,japan
4014,japan association for quaternary research,ngo,tokyo,,japan
4015,japan automobile manufacturer's association,ngo,tokyo,,japan
4016,japan cement association,ngo,toyko,,japan
4017,japan civil network for the united nations decade on biodiversity,ngo,nagoya,,japan
4018,japan coal energy center,ngo,tokyo,,japan
4019,japan ethological society,ngo,shokura,,japan
4020,japan grace co. ltd,priv,toyko,,japan
4021,Japan Intellectual Property Association,ngo,tokyo,,japan
4022,japan international research center for agricultural sciences,sci,tsukuba,,japan
4023,japan paper association,ngo,tokyo,,japan
4024,japan petroleum energy centre,sci,tokyo,,japan
4025,japan society of waste management experts,ngo,tokyo,,japan
4026,japanese association for wild geese protection,ngo,wakayanagi,,japan
4027,japanese association of forensic toxicology,ngo,osaka,,japan
4028,japanese forest society,ngo,tokyo,,japan
4029,japanese monkey centre,sci,inuyama,,japan
4030,japanese photochemistry association,ngo,osaka,,japan
4031,japanese society of developmental biologists,ngo,kobe,,japan
4032,japanese society of fisheries science,ngo,tokyo,,japan
4033,japanese society of grassland science,ngo,nasushiobara,,japan
4034,"japanese society of irrigation, drainage and reclamation engineering",ngo,tokyo,,japan
4035,japanese society of pharmacognosy,ngo,tokyo,,japan
4036,japanese society of phycology,ngo,mito,,japan
4037,japanese society of soil science and plant nutrition,ngo,tokyo,,japan
4038,jaqué conservation group,ngo,jaque,,panama
4039,jaragua group,ngo,santo domingo,,dominican republic
4040,jb renewable energy advice,priv,Strasbourg,,france
4041,jci,ngo,chesterfield,,united states
4042,jci karur diamond,priv,karur,,india
4043,jcomm,sci,paris,,france
4044,jean lorougnon gud university,acad,daloa,,cote d ivoire
4045,jean monnet university,acad,saint-étienne,,france
4046,jean moulin lyon 3 university,acad,lyon,,france
4047,jeju,subgov,jeju,,south korea
4048,jeju national university,acad,jeju city,,south korea
4049,jeolla-do,subgov,muan,,south korea
4050,jeollanam-do province,subgov,muan county,,south korea
4051,jesuit networking,ngo,madrid,,spain
4052,"jet chemicals, ltd.",priv,nairobi,,kenya
4053,jgc corporation,priv,yokohama,,japan
4054,jhpiego,ngo,baltimore,,united states
4055,jiangsu,subgov,nanjing,,china
4056,jiangsu & nanjing energy conservation center,sci,nanjing,,china
4057,jiangxi province,subgov,nanchang,,china
4058,jinan,subgov,jinan,,china
4059,jlanka technologies (pvt) ltd,priv,moratuwa,,sri lanka
4060,jo kaminska foundation,ngo,london,,united kingdom
4062,joão gonçalves zarco school,acad,matosinhos,,portugal
4061,joao galego,subgov,joao galego,,cape verde
4063,joensuu,subgov,joensuu,,finland
4064,joeun bizsquare,priv,gangnam-daero,,south korea
4065,johann heinrich von thuenen institute,sci,braunschweig,,germany
4066,johannesburg,subgov,johannesburg,,south africa
4067,john d. and catherine t. macarthur foundation,ngo,chicago,,united states
4068,john f. kennedy university,acad,pleasant hill,,united states
4069,john hill associates,priv,doncaster,,united kingdom
4070,john innes institute,sci,norwich,,united kingdom
4071,john wiley & sons,priv,hoboken,,united states
4072,johns hopkins university,acad,baltimore,,united states
4073,johns hopkins university press,priv,baltimore,,united states
4074,johnson & johnson corporate citizenship trust,ngo,beerse,,belgium
4075,johnson and johnson,priv,new brunswick,,united states
4076,johnson controls,priv,cork,,united kingdom
4077,joint graduate school of energy and environment,acad,bangkok,,thailand
4078,joint programming initiative: healthy and productive seas and oceans,sci,brussels,,belgium
4079,joint united nations program on hiv/aids,un,geneva,,switzerland
4080,joinville,subgov,joinville,,brazil
4081,joinville regency university,acad,joinville,,brazil
4082,jonathan chogm golden jubilee ambassadors,ngo,otueke,,nigeria
4083,jordan,natgov,amman,,jordan
4084,jordan university for science and technology,acad,irbid,,jordan
4085,jordanian hashemite fund for human development,ngo,amman,,jordan
4086,jordanian national forum for women,ngo,amman,,jordan
4087,josé benito vives de andréis marine and coastal research institute,sci,santa marta,,colombia
4088,joseph fourier university,acad,grenoble,,france
4089,juan francisco paz silva cooperative,ngo,san jose de achupa,,nicaragua
4090,juanillo fishermen's association,ngo,janillo,,dominican republic
4091,jucce,ngo,shanghai,,china
4092,jules dock,priv,rotterdam,,netherlands
4093,jumbo de setubal supermarket,priv,setubal,,portugal
4094,junior achievement portugal,ngo,lisbon,,portugal
4095,junior chamber international,ngo,saint louis,,united states
4096,k&l gates,priv,pittsburg,,united states
4097,kabupaten raja ampat,subgov,waisai,,indonesia
4098,kacific broadband satellites pte ltd.,priv,singapore,,singapore
4099,kaday community and cultural development organization,ngo,kaday,,micronesia
4100,kaduna state,subgov,kaduna,,nigeria
4101,kaffrine,subgov,kaffrine,,senegal
4102,kahramanmaraş sütçüimam university,acad,kahramanmaraş,,turkey
4103,kai marine,priv,madrid,,spain
4104,kajimmy child care,ngo,wa,,ghana
4105,kalipunan ng mga mangingisda- manila,ngo,quezon city,,philippines
4106,kallithea,subgov,kallithea,,united nations
4107,kalpavriksh,ngo,pune,,india
4108,kamarajar port limited,priv,chennai,,india
4109,kamehameha schools,acad,honolulu,,united states
4110,kamoka pearls,priv,kamoka pearl farm,,french polynesia
4111,kampala capital city authority,subgov,kampala,,uganda
4112,kanak national and socialist liberation front,ngo,noumea,,new caldeonia
4113,kanazawa university,acad,kanazawa,,japan
4114,kancheepuram district,subgov,kancheepuram,,india
4115,kanu hawaii,ngo,honolulu,,united states
4116,kapisanan ng mga brodkasters sa pilipinas,ngo,makati,,philippines
4117,karnataka,subgov,bengaluru,,india
4118,karnataka urban development infrastructure and finance corporation,priv,private sector,,begaluru
4119,karolinska institute,acad,stockholm,,sweden
4120,karonga district council,subgov,karonga,,malawi
4121,karumbe,ngo,montevideo,,uruguay
4122,kasetsart university,acad,bangkok,,thailand
4123,kastom gaden association solomon islands,ngo,honiara,,solomon islands
4124,kate: centre for environment & development,ngo,berlin,,germany
4125,kathmandu university,acad,dhulikhel,,nepal
4126,katosi women trust,ngo,kamapala,,uganda
4127,katowice school of economics,acad,katowice,,poland
4128,kaua‘i action and planning alliance,ngo,lihue,,united states
4129,kaunas,subgov,kaunas,,lithuania
4130,kawasaki heavy industries ltd.,priv,tokyo,,japan
4131,kazakhstan,natgov,astana,,kazakhstan
4132,kazi shahid foundation,ngo,dhaka,,bangladesh
4133,kca university,acad,nairobi,,kenya
4134,kcd ongd,ngo,baracaldo,,spain
4135,kebbi state government,subgov,birnin,,nigeria
4136,kedge business school,acad,talence,,france
4137,keep sweden tidy,ngo,stockholm,,sweden
4138,kefalonia,subgov,kefalonia,,greece
4139,kehys - the finnish ngdo platform to the eu,ngo,helsinki,,finland
4140,keio university,acad,tokyo,,japan
4141,kelda group,priv,bradford,,united kingdom
4142,kellogg company,priv,battle creek,,united states
4143,kempen and maasland regional landscape,ngo,genk,,belgium
4144,kennesaw state university,acad,kennesaw,,united states
4145,"kentalis international foundation,",ngo,sint michielsgestel,,netherlands
4146,kenvo,priv,edmonton,,canada
4147,kenya,natgov,nairobi,,kenya
4148,kenya agricultural research institute,sci,mtwapa,,kenya
4149,kenya climate innovation center,ngo,nairobi,,kenya
4150,kenya commercial bank foundation,ngo,nairobi,,kenya
4151,kenya community development foundation,ngo,nairobi,,kenya
4152,kenya equity bank,priv,nairobi,,kenya
4153,kenya health informatics association,ngo,nairobi,,kenya
4154,kenya marine and fisheries research institute,priv,mombassa,,kenya
4155,kenya medical research institute,priv,nairobi,,kenya
4156,kenya philanthropy forum,ngo,nairobi,,kenya
4157,kenya rainwater harvesting association,ngo,kikuyu,,nigeria
4158,kenya state,subgov,nairobi,,kenya
4159,kenya water towers agency,priv,nairobi,,kenya
4160,kenyatta university,acad,nairobi,,kenya
4161,kepco research institute,sci,daejoon,,south korea
4162,kerala shasthra sahithya parishad,sci,kozhikode,,india
4163,kf,priv,stockholm,,sweden
4164,kfa forschungszentrum jülich,sci,jülich,,germany
4165,kfw,priv,frankfurt,,germany
4166,khanty-mansijsysk,subgov,khanty-mansijsysk,,russia
4167,khazar university,sci,baku,,azerbaijan
4168,khmers kampuchea krom federation,ngo,pennsauken,,united states
4169,khon kaen university,acad,khom kaen,,thailand
4170,khorosk district council,subgov,poltava,,ukraine
4171,khulna university,acad,khulna,,bangladesh
4172,khushi parisara,ngo,alvedande,,india
4173,khyber medical university,acad,peshwar,,pakistan
4174,khyber pakhtunkhwa chamber of commerce and industries,ngo,peshwar,,pakistan
4175,khyber pakhtunkhwa provincial assembly,subgov,peshawar,,pakistan
4176,kia motors,priv,seoul,,south korea
4177,kibera community youth program,ngo,nairobi,,kenya
4178,kick project (registered as live 2 give),ngo,queensland,,australia
4179,kids n teenz resource centre,ngo,akure,,nigeria
4180,kiel university,acad,kiel,,germany
4181,Kilusang Magbubukid ng Pilipinas,ngo,quezon city,,philippines
4182,kimberly-clark corporation,priv,irving,,united states
