orig,repl
intergovernmental oceanographic commission of unesco,unesco
international - curricula educators association,international curricula educators association
international academy of oral medicine and toxicology,international academy of oral medicine and toxicology
international association for dental research (iadr),international association for dental research
international association for mathematical geology (canada),international association for mathematical geology
"international association for official statistics (iaos),",international association for official statistics
international association for public transport,international association for public transport
international association for the advancement of innovative approaches to global challenges (iaai),international association for the advancement of innovative approaches to global challenges
international association of geodesy (denmark),international association of geodesy
international association of hydrogeologists (united kingdom of great britain and northern ireland),international association of hydrogeologists
international association of scientific technical and medical publishers,international association of scientific technical and medical publishers
international association of sedimentologists (canada),international association of sedimentologists
international association of volcanology & chemistry of the earth's interior (israel),International Union of Geodesy and Geophysics
international atomic energy agency iaea,international atomic energy agency
international atomic energy association,international atomic energy agency
international atomic energy associations,international atomic energy agency
"international budget partnership (ibp),",international budget partnership
international cable protection committee (icpc),international cable protection committee
international centre for advanced mediterranean agronomic studies,international center for advanced mediterranean agronomic studies
international centre for climate change and development,international center for climate change and development
"international centre for energy, environment & development","international center for energy, environment and development"
"international centre for energy, environment & development (iceed) (nigeria)","international center for energy, environment and development"
international centre for integrated mountain development,international center for integrated mountain development
international centre for research in agroforestry,international center for research in agroforestry
international centre for research in agrofrestry,international center for research in agroforestry
international centre for sustainable cities,international center for sustainable cities
international centre for the study of the preservation and restoration of cultural property,international center for the study of the preservation and restoration of cultural property
international centre for theoretical physics (italy),international centre for theoretical physics
international centre for trade and sustainable development,international center for trade and sustainable devleopment
International Centre for Water Management Services,international center for water management services
international centre of emergency medicine,international center of emergency medicine
"international centre of research and information on the public, social and cooperative economy","international center of research and information on the public, social and cooperative economy"
"international centre of research and information on the public, social and cooperative economy (ciriec) (belgium)","international center of research and information on the public, social and cooperative economy"
"international commission on geosciences for environmental management (gem), a comission of the international union of geosciences (iugs)",international union of geosciences
international committee of the red cross,international red cross and red crescent movement
international consortium of landscape and ecological engineering (iclee) (japan),international consortium of landscape and ecological engineering
international consortium of landslides (japan),international consortium of landslides
international coral reef initative,international coral reef initiative
international coral reefs initiative,international coral reef initiative
international council for local environmental initiative,international council for local environmental initiatives
international council for local environmental issues,international council for local environmental initiatives
international council for the exploration of the sea (denmark),international council for the exploration of the sea
"international council on social welfare,",international council on social welfare
international crops research institute for semi-arid tropics,international crops research institute for the semi-arid tropics
international crops research institute semi-arid tropics,international crops research institute for the semi-arid tropics
international culture university (icu),international culture university
international dental manufacturers (idm),international dental manufacturers
"international development centre, oxford u. (united kingdom of great britain and northern ireland)",university of oxford
international development information organization-devnet,international development information organization
international development research centre,international development research center
international education and resesarch network,international education and research network
international education and resource network,international education and research network
international energy agency (iea) (france);,international energy agency
international energy association,international energy agency
international energy initiative (india),international energy initiative
international federation for cell biology (united kingdom of great britain and northern ireland),international federation for cell biology
"international federation of anti-leprosy associations,",international federation of anti-leprosy associations
international federation of dental educators and associations (ifdea),international federation of dental educators and associations
international federation of red cross and red crescent,international red cross and red crescent movement
international federation of red cross and red crescent societies,international red cross and red crescent movement
international federation of the red cross,international red cross and red crescent movement
international festivals & events association,international festivals and events association
international finance corporation (united states),world bank
international financial consulting (canada),international financial consulting
international fuel quality center (ifqc) (united states),stratas advisors
international fund for agricultural development (ifad);,international fund for agricultural development
"international fund for agricultural development,",international fund for agricultural development
international fund for agriculture development,international fund for agricultural development
international fund for animal welfare (ifaw),international fund for animal welfare
international hotel & restaurant association,international hotel and restaurant association
international human rights association for american minorities (ihraam),international human rights association for american minorities
international hydrographic organisation,international hydrographic organization
"international institute for sustainable development (iisd),",international institute for sustainable development
international labor organization,international labour organization
international lake environment committee (ilec) (japan),international lake environment committee
international maritime organization,international maritime organisation
international mine water association (imwa) (germany),international mine water association
international model forest network secretariat (canada),international model forest network secretariat
"international monetary fund (imf),",international monetary fund
international network on gender & sustainable energy,international network on gender and sustainable energy
international network on gender & sustainable energy (energia) (netherlands),international network on gender and sustainable energy
international network on small hydropower (in-shp) (china),international network on small hydropower
international organization for biological control of noxious animals and plants (iboc) (france),international organization for biological control of noxious animals and plants
international organization for migration,international organization for migration
international organization for migration (iom) (switzerland),international organization for migration
international organization for migrations,international organization for migration
international peat society (united kingdom of great britain and northern ireland),international peat society
international permafrost association (ipa) (norway),international permafrost association
international petroleum industry environment conservation association,international petroleum industry environmental conservation association
international pop's elimination network (ipen),international pop's elimination network
international secretariat for water (isw) (canada),international secretariat for water
international society for animal genetics (united kingdom of great britain and northern ireland),international society for animal genetics
international society for industrial ecology (isie) (united states),international society for industrial ecology
international society for photogrammetry & remote sensing,international society for photogrammetry and remote sensing
international society of biometeorology (isb) (united states),international society of biometeorology
international society of doctors for environment,international society of doctors for the environment
international society of indoor air quality and climate (isiaq) (finland),international society of indoor air quality and climate
international society of matrix biology (ismb) (switzerland),international society of matrix biology
international solar energy society (germany),international solar energy society
"international statistics institute (isi),",international statistics institute
international telecommunications union,international telecommunication union
international trachoma initiative (iti) (united states),international trachoma initiative
international trade centre,international trade center
international trade centre (itc);,international trade center
international training centre of the ilo,international labour organization
international transport workers federation,international transport workers' federation
international truck and engine (united states),international truck and engine
international union for the study of social insects (iussi) (united states),international union for the study of social insects
"international university hcmc,",international university hcmc
"international utility efficiency partnerships, inc (united states)","international utility efficiency partnerships, inc"
international water centre,international water center
international water management institute (iwmi);,international water management institute
international-fund-for-animal-welfare,international fund for animal welfare
internationals seabed authority,international seabed authority
internationanl ocean carbon coordination project,international ocean carbon coordination project
"internews, iod parc ltd,","internews, iod parc ltd"
inter-parlimentary union,inter-parliamentary union
interpol project scale,interpol
"interpol,",interpol
"interregional union of life help for mentally handicapped persons “sail of hope”,",interregional union of life help for mentally handicapped persons “sail of hope”
intrinergy (united states),enviva
investhill group,investhill group
"ip*seva,",intellectual property for sustainable energy ventures
"ipag business school,",ipag business school
"ipex-c,",IPEx Cleantech Asia
irc international water and sanitation centre (netherlands),irc international water and sanitation centre
irc;,irc international water and sanitation centre
ircam consultora ambiental (argentina),ircam consultora ambiental
"irri philippines,",international rice research institute
irsead - institute for research in sustainable energy and development (kenya),institute for research in sustainable energy and development
iscal;,senior accounting and management institute of lisbon
"ishikawajima-harima heavy industries co., ltd. (japan)","ishikawajima-harima heavy industries co., ltd."
islamic educational scientific and culture organization,"islamic educational, scientific and cultural organization"
"islamic educational, scientific, and cultural organization (isesco)","islamic educational, scientific and cultural organization"
istituto cooperazione economica internazionale,international economic cooperation institute
istituto d'istruzione secondaria superiore ernesto battaglini - venosa,upper secondary education institute ernesto battaglini - venous
istituto nazionale di fisica nucleare,national institute of nuclear physics
istituto per l'ambiente e l'educazione scholé futuro,institute for the environment and education scholé future
istituto sindacale per la cooperazione con paesi in via di sviluppo,trade union institute for cooperation with developing countries
istituto superiore per la protezione e la ricerca ambientale,higher institute for environmental protection and research
italcementi,italcementi group
"italy (government of),",italy
italy (italian national research council (cnr) - institute for atmospheric pollution),italy
itpower (united kingdom of great britain and northern ireland),itpower
itr: instituto de turismo responsable (spain),responsible tourism institute
itr: instituto de turismo responsible,responsible tourism institute
iuss-university of pavia: european school of advanced studies in nuclear and ionizing technologies (italy),pavia school of advanced studies
"iveco, cr-fiat (italy)",iveco
"ivedix,",ivedix
iwa;,international water association
iw-learn;,global environment facility
iwo (united kingdom of great britain and northern ireland),institution of water officers
"j.j. mcdonnell & co., inc.","j.j. mcdonnell and co., inc."
ja portugal;,junior achievement portugal
"jalisco,",jalisco
japan agency for marine earth science & technology,japan agency for marine-earth science and technology
japan association for quaternary research (japan),japan association for quaternary research
japan automobile manufacturer's association (japan),japan automobile manufacturer's association
japan coal energy center (japan),japan coal energy center
japan ethological society (japan),japan ethological society
"japan grace co. ltd,",japan grace co. ltd
japan petroleum energy centre - jpec (japan),japan petroleum energy centre
japan society of waste management experts (japan),japan society of waste management experts
"japan,",japan
japanese association for wild geese protection (japan),japanese association for wild geese protection
japanese association of forensic toxicology (japan),japanese association of forensic toxicology
"japanese association of mineralogists, petrologists and economic geologists (japan)",international mineralogical association
japanese forest society (japan),japanese forest society
japanese monkey centre (japan),japanese monkey centre
japanese photochemistry association (japan),japanese photochemistry association
japanese society of developmental biologists (japan),japanese society of developmental biologists
japanese society of fisheries oceanography,japanese society of fisheries science
japanese society of fisheries oceanography (japan),japanese society of fisheries science
japanese society of fisheries science (japan),japanese society of fisheries science
japanese society of grassland science (japan),japanese society of grassland science
"japanese society of irrigation, drainage and reclamation engineering (japan)","japanese society of irrigation, drainage and reclamation engineering"
japanese society of pharmacognosy (japan),japanese society of pharmacognosy
japanese society of phycology (japan),japanese society of phycology
japanese society of soil science and plant nutrition (japan),japanese society of soil science and plant nutrition
jb conseils en énergies renouvelables,jb renewable energy advice
"jb conseils en énergies renouvelables,",jb renewable energy advice
"jet chemicals, ltd. (nairobi) (kenya)","jet chemicals, ltd."
jeune chambre internationale delmas,delmas junior chamber international 
jeunes indépendants démocrates,young independent democrats
jeunes leaders de tunis,young leaders of tunis
jgc corporation (japan),jgc corporation
jiangsu & nanjing energy conservation center (china),jiangsu & nanjing energy conservation center
"jipa,",Japan Intellectual Property Association
john d. and catherine t. macarthur foundation (united states),john d. and catherine t. macarthur foundation
john hill associates (united kingdom of great britain and northern ireland),john hill associates
john wiley & sons (united kingdom of great britain and northern ireland),john wiley & sons
johns hopkins university (united states),johns hopkins university
johns hopkins university press (united states),johns hopkins university press
johnson & johnson,johnson and johnson
joint united nations programme on hiv/aids,joint united nations program on hiv/aids
jordan university for science & technology,jordan university for science and technology
jóvenes libres por sonora a.c.,free youngsters by sound a.c.
jóvenes libres por sonora a.c.;,free youngsters by sound a.c.
junta administradora de agua y saneamiento polos water association,water and sanitation management board polos water association
"kaffrine,",kaffrine
kalipunan ng mga mangingisda- manila (philippines),kalipunan ng mga mangingisda- manila
kampala capital city authority (kcca);,kampala capital city authority
"kampus its surabaya,",sepuluh nopember institute of technology
kapisanan ng mga brodkasters sa pilipinas (philippines),kapisanan ng mga brodkasters sa pilipinas
kate: centre for environment & development (germany),kate: centre for environment & development
kaua‘i action & planning alliance,kaua‘i action and planning alliance
kawasaki heavy industries ltd. (japan),kawasaki heavy industries ltd.
"kbin, belgium",royal belgian institute of natural sciences
"kca university,",kca university
kelda group (united kingdom of great britain and northern ireland),kelda group
"kenya (government of),",kenya
"kenya cic,",kenya climate innovation center
"kenya health informatics association (kehia),",kenya health informatics association
kenya maritime and fisheries research institute,kenya marine and fisheries research institute
kfw development bank,kfw
"kiel university, germany",kiel university
kimberly-clark,kimberly-clark corporation
"kindness dot my,",kindness dot my
king prajadhipok's institute (thailand),king prajadhipok's institute
king salman humanitarian aid & relief center,king salman humanitarian aid and relief center
kingdom of the netherlands,netherlands
kipcalor energetics llc (hungary),kipcalor energetics llc
kirabati,kiribati
kirkland & ellis,kirkland and ellis
kirkpatrick & lockhart nicholson graham llp,kirkpatrick and lockhart nicholson graham llp
kirkpatrick & lockhart nicholson graham llp (united kingdom of great britain and northern ireland),kirkpatrick and lockhart nicholson graham llp
kmp (philippines),Kilusang Magbubukid ng Pilipinas
knolle magnetrans (united states),knolle magnetrans
koç university migration research center,koc university
komatsu cummins,komatsu
komite penghapusan bensin bertimbel (kpbb) (indonesia),komite penghapusan bensin bertimbel
kongsberg maritime •,kongsberg maritime
koninklijke nederladse plantenziektenkundige vereniging te wageningen,royal dutch plant health association
koninklijke nederladse plantenziektenkundige vereniging te wageningen (netherlands),koninklijke nederladse plantenziektenkundige vereniging te wageningen
korea institute of ocean science & technology,korea institute of ocean science and technology
korean advanced institute of science and technology (republic of korea),korean advanced institute of science and technology
korean atomic energy research institute (republic of korea),korean atomic energy research institute
korean network for coastal conservation (republic of korea),korean network for coastal conservation
korean society for indoor environment (democratic people's republic of korea),korean society for indoor environment
korean society of agriculture engineers (republic of korea),korean society of agriculture engineers
korean transport institute (koti) (republic of korea);,korean transport institute
kotor,kotor municipality
"kpmg idas institute,",kpmg idas institute
kpmg international,kpmg
ks enterprise •,ks enterprise
kt,kt corporation
kukulkan foundation (guatemala),kukulkan foundation
kumasi institute of technology and environment (kite) (ghana),kumasi institute of technology and environment
"kurdistan subnational government ministry of labour and social affairs (molsa-krg),",kurdistan subnational government ministry of labour and social affairs
"kwantu,",kwantu
"kwazulu-natal,",kwazulu-natal
kwi management consultants & auditors gmbh (austria),zolbl international consulting
kyosiga community christian association for development uganda,kyosiga community christian association for development
kyo-ya hotels & resort,kyo-ya hotels and resort
kyrgyz mining association,kyrgyz mining association
kyrgyzstan,kyrgyz republic
l école de design nantes atlantique,atlantic nantes design school
la cinaga,at the moment
la esperanza del maana,hope of tomorrow
"la fédération des réseaux et associations de l’energie, de l’environnement et du développement durable (fereadd).","federation of networks and associations of energy, environment and sustainable development"
la guardia foundation,la guardia foundation
la guardia foundation (united states),la guardia foundation
la libre,free
la plate-forme pour le commerce equitable (france),platform for fair trade
la recherche agronomique pour le developpement,agronomic research for development
la recherche agronomique pour le développement,agronomic research for development
la sociedad cooperativa de produccin pesquera cozumel sc de rl,cooperative society of fishing production cozumel sc de rl
la trobe university,la trobe university
laboratoire de biologie et decologie des poissons en afrique de louest 'labep-ao',fish biology and decology laboratory in west africa 'labep-ao'
laboratoire detudes en gophysique et ocanographie spatiales,laboratory studies in space geophysics and ocanography
"laboratoire dhydrochimie, universit jean lorougnon gud",jean lorougnon gud university
"laboratoire d'oceanographie physique et spatiale, ifremer",ifremer
laboratoire ese,laboratoire ese
laboratoria,laboratoria
laboratorie des sciences du climate et de l'environment,climate and environmental science laboratory
laboratório nacional de engenharia civil,national laboratory of civil engineering
lafarge foundation,lafargeholcim foundation
"lagos business school, pan-african university",pan-african university
landes bioscience (united states),landes bioscience
landgas technology llc (united states),landgas technology llc
landless peoples movement (south africa),landless peoples movement
"landmarks berhad,",landmarks berhad
lappeenranta university of technology,lappeenranta university of technology
l'association canadienne des géographes,canadian association of geographers
l'association canadienne des géographes (canada),l'association canadienne des géographes
last frontiers (united kingdom of great britain and northern ireland),last frontiers
"la-tortuga-viva,",turtle alive
lawrence berkeley national laboratory,united states
lawrence livermore national laboratory,united states
lawyer's environmental action team (united republic of tanzania),lawyer's environmental action team
le centre national de la recherche scientifique,france
le matin du sahara,morning of the sahara
le matin du sahara (united kingdom of great britain and northern ireland),morning of the sahara
le port autonome de cotonou,autonomous port of cotonou
leadership empowerment action development (l.e.a.d),leadership empowerment action development
"league of arab states,",league of arab states
leak surveys inc. (united states),leak surveys inc.
learn nature computech (india),learn nature computech
leeds metropolitan university (united kingdom of great britain and northern ireland),leeds metropolitan university
lega ambiente turismo italia (italy),lega ambiente turismo italia
legambiente onlus,legambiente
leibniz-zentrum fuer marine tropenforschung,leibniz center for marine tropical research
leibniz-zentrum fur marine tropenoekologie,leibniz center for marine tropical research
"leonard cheshire disability,",leonard cheshire disability
les ateliers de la terre,workshops of the earth
"les ateliers de la terre,",workshops of the earth
"lesi,",licensing executives society international
levi strauss & co,levi strauss corporation
lextran,lextran
"lfg technologies, inc. (united states)","lfg technologies, inc."
Licensing Executives Society International,licensing executives society international
liege university,university of liege
"lifebuilders of nigeria,",lifebuilders of nigeria
"light for the world,",light for the world
ligue de l'enseignement,league of education
likhang kabitenyo foundation (philippines),likhang kabitenyo foundation
"liliane fonds,",liliane fonds
"limestone partners, llc (united states)","limestone partners, llc"
linnean society of london (united kingdom of great britain and northern ireland),linnean society of london
lipor;,intermunicipal service for waste management in greater porto
"liu, shen & associates","liu, shen and associates"
live & learn environmental education,live and learn environmental education
living oceans society (ngo);,living oceans society
"living-oceans-society,",living oceans society
lneg;,national laboratory of energy and geology
local federation from closing of niodior (felogie niodior),local federation from closing of niodior
locally-managed marine area network,locally managed marine area network
"lombardia,",lombardia
london asia capital (china),london asia capital
london school of hygiene & tropical medicine,london school of hygiene and tropical medicine
london school of hygiene and tropical medicine (lshtm) (united kingdom of great britain and northern ireland),london school of hygiene and tropical medicine
los gatos research (united states),los gatos research
louis berger group (united states),louis berger group
low carbon cities initiative (united kingdom of great britain and northern ireland),low carbon cities initiative
low carbon development & promotion centre,low carbon development and promotion center
lpg association of southern africa (south africa),lpg association of southern africa
lpn;,league for the protection of nature
lubrizol corporation (united states),lubrizol corporation
ludvik group,ludvik electric
lush,lush cosmetics
m s swaminathan research foundation,m. s. swaminathan research foundation
m/s tce consulting engineers ltd. (india),tata group
macarthur foundation,john d. and catherine t. macarthur foundation
macedonian center for energy efficiency (mppm) (the former yugoslav republic of macedonia),macedonian center for energy efficiency
macquarie university,macquarie university
madina tank ltd.,madina tank ltd.
"mae fah luang university,",mae fah luang university
maersk oil & gas,maersk oil and gas
"mahidol university,",mahidol university
mahidul university,mahidol university
"mahiti infotech pvt ltd,",mahiti infotech pvt ltd
maik nauka interperiodica (russian federation),maik nauka interperiodica
"mairie de grand-lahou,",mairie de grand-lahou
makerere university school of public health,makerere university
malama maunalua,m?lama maunalua
malaria consortium (united kingdom of great britain and northern ireland),malaria consortium
malaysia nature society,malaysian nature society
malaysia nature society (malaysia),malaysian nature society
"malaysia,",malaysia
mali folkecenter (mali),mali folkecenter
mammal society (united kingdom of great britain and northern ireland),mammal society
manufacturers of emission control assoc (meca) (united states),manufacturers of emission control association
manus provincial administration.,manus provincial administration
mar fund,mar fund
margaret a cargill philanthropies,margaret a. cargill philanthropies
margaret a. cargill foundation,margaret a. cargill philanthropies
marine conservation biology institute,marine conservation institute
"marine environment and resources foundation, inc. (ngo)","marine environment and resources foundation, inc."
marine hydrophysical institute of the ukrainian academy of sciences (ukraine),marine hydrophysical institute of the ukrainian academy of sciences
marine research centre,marine research center
"marine science institute, univ. of the philippines (philippines)",university of the philippines
"marine-conservation-institute,",marine conservation institute
maritime battery forum •,maritime battery forum
marks & spencer,marks and spencer
marks & spencer’s,marks and spencer
"mars omega llp,",mars omega llp
marthe van rijswijck foundation;,marthe van rijswijck foundation
marti,mesoamerican reef tourism initiative
martin-luther-universität halle-wittenberg,martin luther university halle wittenberg
masdar,masdar city
mass media (vietnam),mass media
massachusetts renewable energy trust (united states),massachusetts
massachussets institute of technology,massachusetts institute of technology
"mastercard,",mastercard
mata amritanandamayi mata (ma math) (india),mata amritanandamayi mata
mauritiana,mauritania
mauritius marine consersation society,mauritius marine conservation society
max & marjorie fisher foundation,max and marjorie fisher foundation
max chemicals (india),max chemicals
mccann health,mccann healthcare
mccann-erickson,mccann healthcare
mckinsey & company,mckinsey and company
"mckinsey & company,",mckinsey & company
medical university of south carolina (united states),medical university of south carolina
mediterranean action plan/barcelona convention,mediterranean action plan
mediterranean agronomic institute of bari (ciheam-mai bari);,mediterranean agronomic institute of bari
mediterranean energy and ecology center (israel),mediterranean energy and ecology center
"mediterranean information office for environment, culture, and sustainable development","mediterranean information office for environment, culture and sustainable development"
mediterranean network of basin organisations,mediterranean network of basin organizations
mediterranean renewable energy centre regional centre,mediterranean renewable energy center regional center
medknow publishers (united states),medknow publishers
megapak (south africa),nampak
megtec systems (sweden),megtec systems
mekong river commission (cambodia),mekong river commission
menschen für menschen,people for people
mercotur: soluções inteligentes para o turismo sustentável,mercotur: smart solutions for sustainable tourism
mercotur: soluções inteligentes para o turismo sustentável (brazil),mercotur: smart solutions for sustainable tourism
mercuriados,mercuriados
"merzbach group, llc (united states)","merzbach group, llc"
"met office hadley centre, uk","met office hadley center, uk"
metameta;,metameta
"métamorphose outremers,",métamorphose outremers
metro ag wholesale & food specialist company,metro ag wholesale and food specialist company
"mexico (government of),",mexico
mgm international (united states),mgm international
"mhii solutions,",mhii solutions
miambiente,miambiente
"microsoft schweiz,",microsoft
middlesbrough city council,middlesbrough
midkent water (united kingdom of great britain and northern ireland),South East Water Ltd
millipore foundation (united states),millipore foundation
mindanao state university philippines,mindanao state university
mindanao state university philippines.;,mindanao state university
minerales monclova s.a. de c.v. (mexico),minerales monclova s.a. de c.v.
mineresearch,mineresearch
ministère de la transition écologique et solidaire (chargé de la mer),france
ministerio de agricultura ganaderia y alimentacion,ministerio de agricultura ganaderia y alimentacion
ministerio de ambiente de panama,panama
ministerio de ambiente y recursos naturales,ministerio de ambiente y recursos naturales
ministerio de medio ambiente,dominican republic
ministerio de medio ambiente y recursos naturales,dominican republic
ministre de lenvironnement et de dveloppement durable,cote d'ivoire
ministry of climate and environment •,ministry of climate and environment
ministry of climate change and environment,united arab emirates
ministry of environment,czech republic
ministry of environment (czech republic),czech republic
ministry of environment albania,albania
"ministry of fisheries and agriculture, maldives",maldives
ministry of foreign affairs and cooperation,monaco
ministry of marine affairs and fisheries,indonesia
ministry of natural resources and environment,samoa
"ministry of ocean economy, marine resources, fisheries & shipping (shipping division) of the republic of mauritius",mauritius
ministry of resources & development (marshall islands marine resources authority),marshall islands
ministry of sea,portugal
"ministry of sustainable development and tourism, department for sustainable development and integrated coastal zone management",montenegro
ministry of trade and fisheries •,ministry of trade and fisheries
minstry of industries and innovation on behalf of the government of iceland,iceland
miriam college (philippines),miriam college
"mission-blue,",mission-blue
"missions publiques,",missions publiques
mit press (united states),mit press
mitcon consultancy services ltd (india),mitcon consultancy services ltd
"mitsubishi heavy industries, ltd.",mitsubishi chemical holdings corporation
"mitsubishi heavy industries, ltd. (japan)",mitsubishi chemical holdings corporation
mitsui & co.,mitsui and company
"mitsui mining engineering co., ltd.",mitsui and company
"mitsui mining engineering co., ltd. (japan)",mitsui and company
mizuho corporate bank (united states),mizuho corporate bank
"moana nui,",moana nui
monaco explorations,monaco
"monaco,",monaco
monde volontaire au développement,voluntary world of development
"monde volontaire au développement,",voluntary world of development
montecristo river lodge (nicaragua),montecristo river lodge
monterey bay aquarium on behalf of all partners,monterey bay aquarium
monterey bay aquarium research institute,monterey bay aquarium
monterey bay aquarium seafood watch,monterey bay aquarium
"monterey bay aquarium seafood watch (ngo),",monterey bay aquarium
monterrey bay aquarium,monterey bay aquarium
morocco (government of),morocco
"morona santiago,",morona santiago
morroco,morocco
morse associates inc. (mai) (united states),morse associates inc.
moscow engineering physics institute (russian federation),moscow engineering physics institute
mossnet (ghana),mossnet
"motivation,",motivation
mouchel parkman group (united kingdom of great britain and northern ireland),mouchel parkman group
mountain societies development support programme,mountain societies development support program
mouvement international des etudiants catholiques,international movement of catholic students
mouvement solidarité humanitaire alfityanu luxembourg,humanitarian solidarity movement alfityanu luxembourg
movimento dos pescadores e pescadoras - mpp,fishermen and fishermen's movement
movimiento nueva generación,new generation movement
movimiento unido por la infancia en méxico,united movement for childhood in mexico
movimiento unido por la infancia en méxico;,united movement for childhood in mexico
mozamibque,mozambique
mpa action agenda & mpa action group,mpa action agenda and mpa action group
ms swaminathan research foundation,m. s. swaminathan research foundation
munich climate insurance initiative (mcii);,munich climate insurance initiative
municipality of xinjiang uygur autonomous region (china),municipality of xinjiang uygur autonomous region
municipio de panama,panama city
museo nacional de ciencias naturales,national museum of natural sciences
museo nacional de historia natural,national museum of natural history
my world mexico,my world mexico
mycological society of japan (jamaica),mycological society of japan
"myright,",myright
mytravel uk (united kingdom of great britain and northern ireland),mytravel uk
"nabbir laboratory (kl) sdn. bhd.,",nabbir laboratory (kl) sdn. bhd.
naima canada (canada),naima canada
nairobi convention secretariat,nairobi convention
nampo city government (democratic people's republic of korea),nampo city government
"napa ii and fisheries department, tuvalu",tuvalu
"napo,",napo
nat (naturally advanced technologies),naturally advanced technologies
"national academy of sciences, the (united states)",national academy of sciences
national association of automobile manufacturers of south africa - naamsa (south africa),national association of automobile manufacturers of south africa
national association of state energy officials (naseo) (united states),national association of state energy officials
national atmospheric deposition program,university of illinois
national autonomous university of honuras,national autonomous university of honduras
national autonomous university of mexico (mexico),national autonomous university of mexico
national business initiative (nbi),national business initiative
national cceanographic data denter of the comoros,national oceanographic data denter of the comoros
"national center for transportation studies (ncts), philippines (philippines);",national center for transportation studies
national defence university of malaysia.,national defence university of malaysia
national geographic,national geographic society
national institute for water and atmospheric research,national institute of water and atmospheric research
national land committee (nlc) (south africa),national land committee
national lighting test centre,national lighting test center
national lighting test centre of china,national lighting test center
"national organisation for development (palestian territory, occupied)",national organisation for development
national planning commission secretariat (nepal),nepal
national research council,italy
"national science centre ""kharkov institute of physics and technology""","national science center ""kharkov institute of physics and technology"""
"national science centre ""kharkov institute of physics and technology"" (ukraine)","national science center ""kharkov institute of physics and technology"""
national taitung university (china),national taitung university
national technical university of ukraine kiev polytechnic institute (ukraine),national technical university of ukraine kiev polytechnic institute
national termite prevention and control (china),national termite prevention and control
national union of students,national union of students of the united kingdom
national univeristy of samoa,national university of samoa
natsource group (united states),natsource group
"natural resource governance institute (nrgi),",natural resource governance institute
natural resources defense council (nrdc),natural resources defense council
natural resources defense council (united states),natural resources defense council
naturaleza y cultura internacional,nature and international culture
nature conservancy of hawaii,nature conservancy
nature publishing group (united kingdom of great britain and northern ireland),nature publishing group
nature seychelles (seychelles),nature seychelles
nausicaà,nausicaa
ndanifor gardens uk,ndanifor gardens uk trust
nederlands instituut voor zeeonderzoek,netherlands
nedindo (indonesia),nedindo
nedwa (mauritania),nedwa
neilson (united kingdom of great britain and northern ireland),neilson
nepad,african union
nepad planning and coordination agency (npca / nepad agency),african union
nepal water for health (newah) (nepal),nepal water for health
nestle,nestlé s.a.
nestlé,nestlé s.a.
nestle s.a.,nestlé s.a.
"net design,",net design
netherlands entomological society (netherlands),netherlands entomological society
"netherlands leprosy relief,",netherlands leprosy relief
netwas (kenya),netwas
netwwater - network of women water professionals sri lanka,network of water women professionals
"neuw ventures,",neuw ventures
new america foundation,new america
"new caledonia - association bio caledonia,",caledonian association of biological certification
new caleonia,new caledonia
new dawn engineering (swaziland),new dawn engineering
new energy & industrial technology development org,japan
new energy & industrial technology development org (japan),japan
new energy & industrial technology development org (united states),japan
new england seafood,new england seafoods international ltd
"new horizons,",new horizons
new phytologist trust (united kingdom of great britain and northern ireland),new phytologist trust
new ventures fund,new venture fund
new world hope organization (nwho),new world hope organization
new world hope organization,new world hope organization
new zealand geographical society (new zealand),new zealand geographical society
new zealand ministry for primary industries,new zealand
"new zealand,",new zealand
new-caledonia maritime cluster (cmnc),new caledonia maritime cluster
nexus-carbon for development,nexus carbon for development
ngo committee on sustainable development -ny,ngo committee on sustainable development
ngo fórum do mar fundação grupo boticário,ngo forum of the sea foundation group apothecary
"nielsen,",nielsen
"nigeria,",nigeria
nigerian national petroleum corporation (nigeria),nigerian national petroleum corporation
nike. inc,"nike, inc"
niksa energy associates (nea),niksa energy associates
ningxia cdm service centre (china),ningxia cdm service centre
ningxia province (china),ningxia province
"nippon foundation nereus program, university of british columbia",university of british columbia
nippon foundation-nereus program,nippon foundation
niue island organic farmers association;,niue island organic farmers association
nomadic thought ltd (united kingdom of great britain and northern ireland),nomadic thought ltd
"nordic africa institute (nai),",nordic africa institute
norsk energi (norwegian energy efficiency group) (norway),norsk energi
north american insulation manufacturers association (naima) (united states),north american insulation manufacturers association
north energy associates (united kingdom of great britain and northern ireland),north energy associates
north west university (south africa),north west university
northern marianas,northern mariana islands
northern marianas islands,northern mariana islands
northport (malaysia) bhd.,northport bhd.
"northumbrian water - ondeo services,",northumbrian water - ondeo services
"northumbrian water - ondeo services, (united kingdom of great britain and northern ireland)",northumbrian water - ondeo services
"norway,",norway
norwegian academy of science and letters (norway),norwegian academy of science and letters
norwegian coastal administration •,norwegian coastal administration
norwegian fishing vessel owners association •,norwegian fishing vessel owners association
norwegian maritime authoroty •,norwegian maritime authority
norwegian polar institute (norway),norwegian polar institute
norwegian public roads administration •,norwegian public roads administration
norwegian research council,norwegian research council
norwegian shipowners association,norwegian shipowners’ association
norwest corporation (canada),norwest corporation
norwest corporation (united states),norwest corporation
"novamont ¿ mater.bi s.p.a., novara, italy (italy)",novamont spa
novamont s.p.a.,novamont spa
no-whales-in-captivity,no whales in captivity
nox-fund,nox fund
nox-fund •,nox-fund
npb associates (united states),npb associates
"nrel,",united states
