TITLES,REGISTRATION,GOALS,DESCRIPTION,PARTNERS,COUNTRIES,SDG 14 TARGETS COVERED,OCEAN BASINS,BENEFICIARY COUNTRIES,OTHER BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerating the transformational shift to a low-carbon economy in the Republic of Mauritius - United Nations Partnerships for SDGs platform,Registered: 16 October 2019,['Goal 7'],"
Description/achievement of initiative

With 84% of its primary energy requirements met from imported fossil fuels, Mauritius is extremely vulnerable to energy shocks. The grid emission factor of Mauritius is extremely high at 1.01 tonnes CO2/MWh due to the prevalence of imported coal (39%) and fuel oil (38%) in the electricity generation mix. Net greenhouse gas emissions are increasing at a rapid rate of 3% per year. This project will remove the principal bottlenecks to investment in low-carbon development for: (i) grid-connected intermittent renewable energy; and (ii) mini-grid PV for the principal outer island, Agalega. The project will be implemented in a two-phase approach.
 

 


Implementation methodologies


Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


Partner(s)


Ministry of Finance and Economic Development (Mauritius), Ministry of Energy and Public Utilities (Mauritius), Central Electricity Board, Outer Islands Development Corporation, and United Nations Development Programme (UNDP)

","['Ministry of Finance and Economic Development (Mauritius)', ' Ministry of Energy and Public Utilities (Mauritius)', ' Central Electricity Board', ' Outer Islands Development Corporation', ' and United Nations Development Programme (UNDP)']",[],,,,
"Dissemination of the Criminal Justice System among women, girls and boys - United Nations Partnerships for SDGs platform","Start: 01 February, 2020","['Goal 5', '\n\n\nGoal 16']","
Description

                            In 2016 we created two radio series to spread the Criminal Justice System, through dramatized stories. The first is ""Let's talk about Justice with Doña Justa"", dedicated to women from rural and urban areas. The second is ""Super Justina en Acción"" dedicated to spreading the issue of justice among boys and girls (the idea is that they are not adults living within the model of justice and the rule of law).
In this second stage, we want to take advantage of this material to go to give workshops in communities across the country. Both series are made with a simple and easy to learn language, so we will use them as teaching material to teach talks and workshops. The objective is to contribute to the dissemination of the Criminal Justice System so that it becomes part of the Mexican culture. For that, we will go to the communities, first to train volunteer promoters and, with them, we will give workshops with women from rural and urban areas, and also with children.
To follow up we will be visiting each community to see the progress of the promoters and also to know the response of the people in the communities
                        
Expected impact

                            We are fully convinced that women's access to justice will stop the terrible wave of violence in our country. According to statistics, 8 out of 10 women have suffered some kind of violence throughout their lives. In the different approach strategies we have seen that the victim and victimizer paradigm is maintained, without the results having slowed the situation. We seek to empower women by making them aware of their rights and everything that the Para Justice System has for all women. The idea is that they appropriate the system and know where to turn in case of violence and to demand from their authorities to guarantee their access to justice. With these actions we are promoting gender equality, women's access to justice, the culture of peace and the rule of law. We also focus on boys and girls because we believe it is the best investment in the medium and long term since, when they are adults they will live within the culture of legality and peace.
                        
Website

                            www.mujeresenfrecuencia.org
                        
","['We will be reaching 250 volunteer promoters and', ' with the workshops', ' 700 women', ' girls and boys (in separate groups)']","['Ma de Lurdes Barbosa Cárdenas, The justice is written differently for woman, girls ando boys, lurdesbarbosa17@gmail.com, (00 52 5529005892)']",,,,
Tuvalu Coastal Adaptation Project (TCAP) - United Nations Partnerships for SDGs platform,Registered: 15 October 2019,['Goal 9'],"
Description/achievement of initiative

Measures that are urgently required to reduce the impact of increasingly intensive wave action on key infrastructure as a result of climate change induced sea-level rise and intensifying extreme events. Financial and capacity constraints at all levels that have prevented a sustainable coastal protection solution will be addressed. 35% of high-value vulnerable coasts will be made more resilient to withstand the effects of increased wave intensity, compared with the baseline of 7%. The investments will occur at locations that have high concentration of residences. The project will also strengthen institutional and community capacities for sustaining and replicating project results.
 

 


Implementation methodologies


Arrangements for Capacity-Building and Technology Transfer 


Support for facilitating learning and building knowledge including for generation, dissemination and use, is envisaged in four areas of project activities. The first will target government officials from DLS, PWD and DoE who will receive trainings on synthesis and analysis of beach profile data, coastal protection feasibility assessments, basic maintenance of coastal protection infrastructure, and ecosystem-based coastal protection approaches.
The second area targets students who are currently in a high school or university program so that they will obtain a higher degree in disciplines related to coastal protection such as civic/coastal engineering and oceanography. This programme will be supported only in the first 4 years of the project implementation so that, during the lifecycle of the GCF project, the students supported will have graduated and, as per the scholarship arrangement, come back to Tuvalu to work on the project to apply their knowledge and skills gained. The university partnership will also allow learning and knowledge-generation to be disseminated within and beyond Tuvalu, where academics and students will be invited to conduct research and or field-based studies. Not only will this allow young academics and experts in Tuvalu and in the region to interact with global experts in the field, but also, the knowledge and learning from Tuvalu regarding coastal resilience building can then be shared throughout the world.
The third area of knowledge sharing and learning will take place in the communities targeting both the administrators (the Kaupules and the Falekaupules) and community members. The administrators will gain better understanding about the process for participatory, gender-responsive development planning, budgeting and execution while community members will enhance their awareness about the importance of independent monitoring of the performance of the administrators, judged against the ISP. Officers from the Department of Rural Development will also enhance their knowledge of facilitating community dialogue for development planning as an independent facilitator of the process. In addition, this development dialogue platform will also be used to improve learning among community members about climate risks, the notion of island formulation process and the ecosystem-based adaptation approaches, data collection for coastal monitoring, coastal design options, maintenance responsibilities, and costs.



Coordination mechanisms/governance structure


Partner(s)


The Government of Tuvalu; and United Nations Development Programme (UNDP)

",['The Government of Tuvalu; and United Nations Development Programme (UNDP)'],[],,,,
Fiji Urban Water Supply and Wastewater Management Project - United Nations Partnerships for SDGs platform,Registered: 15 October 2019,['Goal 6'],"
Description/achievement of initiative

The project will improve access to safe water and sewerage services by building infrastructure to increase water production by 20% and wastewater treatment by 200% in the greater Suva area, and supporting government to develop and implement policy and regulatory reforms in water and sewerage. The project includes climate change adaptation to floods, droughts, and salinity intrusion due to sea level rise, as well as ecosystem conservation through the increase of sewerage coverage and improvement of wastewater processes and mitigation through use of energy efficient technologies and the increase of sewerage coverage.
 

 


Implementation methodologies


Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


The key organizations involved in the project include the Ministry of Finance (MOF) that will represent Fiji as the Client and within ADB terminology is considered the executing agency. WAF will be the agency responsible for the day-to-day implementation of the project and under ADB terminology is considered the Implementing Agency. The project management unit (PMU) will be established within WAF. ADB as the accredited entity will monitor project implementation activities.

A Project Steering Committee will be established and chaired by MOF. Members of the Project Steering Committee will include Ministry of Foreign Affairs (MOFA) as the National Designated Authority for the GCF; the Ministry of Infrastructure and Transport (MOIT); the Ministry of Local Government, Housing and Environment (MLGHE), the Ministry of Lands and Mineral Resources (MLMR), the iTaukei Land Trust Board (TLTB) and WAF.


Partner(s)


The Fijian Ministry of Foreign Affairs and Ministry of Finance; and Asian Development Bank (ADB)

",['The Fijian Ministry of Foreign Affairs and Ministry of Finance; and Asian Development Bank (ADB)'],[],,,,
HESI and FAOU Integration Partnership - United Nations Partnerships for SDGs platform,Registered: 14 October 2019,['Goal 4'],"
Description/achievement of initiative

FAOU looks forward to offer to all youth around the world an open access to education, at various disciplines and produce graduates of assured quality education. We would like to contribute towards the development of international higher education and aim to internationalize our university through collaboration and cooperation, knowledge exchange and continual professional development. We would be appreciative of the opportunity to have your support in our actions, internationalization, and the implementation of our projects with your both technical and financial assistance, strengthening the promotion and visibility of our university globally, as well as developing our professional standing.
 

 


Implementation methodologies



This project is managed by volunteers that they are renewed each 4 months (except those who are active and would like to be a permanent member). To work on the different departments and offices of the university. The team are 100% volunteers and the university are 100% independent. 
The professors are hired in freelance contract, with 60% of benefits from the courses selling go to them and 40% benefit go to the university.



Arrangements for Capacity-Building and Technology Transfer 


The university is using online platform to offer its non profit courses, those courses can be basically videos or audio presentation, additional reading materials and forums for discussions.



Coordination mechanisms/governance structure


We are a multinational team at Fatima Al-Fihri Open University with diverse skills and experiences in a great number of fields and advocates of an open education system. We seek to be a world leader in the design, content and delivery of supported open and distance learning.  The University’s structure is made up of 10 different teams with members being assigned to a particular team. The teams include the following;

-Pedagogical Affairs Dept.
This team is responsible for finding the most suitable pedagogical system for the University- also collecting data about pedagogical systems around the world.

-Internal Communications Dept.
This team is concerned with enhancing communications among members of the University such as; creating activities, knowing each other, etc.

-Public Relations Dept.
Introducing the project to the world, creating partnerships and fundraising, communicating and representing the University are all entrusted to the Public Relations Team.

-Human Resources Dept.
HR Team is  responsible for hiring members in vacant vacancies, in addition to managing member’s contracts and evaluating their performance, etc.

-Social Media Dept.
Members of this team are charged with the responsibility of promoting the University through the social media platforms, also sharing notes, articles, studies, etc.

-Platform & IT Dept. 
The responsibility for running and managing the University platform is assigned to this team.

-Marketing Office
 To run and manage the University branding on social media platforms.

-Partnership Office
To seek opportunities to deal with local & international partners


Partner(s)


Laboratory for Research on Comparative Democratic Transition(University Of Hassan 1 st-Morocco)
We all Work(National Youth Organization-Morocco)
Union Of Scientists Albert Einstein(Germany)

",['Laboratory for Research on Comparative Democratic Transition(University Of Hassan 1 st-Morocco)\nWe all Work(National Youth Organization-Morocco)\nUnion Of Scientists Albert Einstein(Germany)'],[],,,,
Development and climate alliance - United Nations Partnerships for SDGs platform,Registered: 14 October 2019,"['Goal 7', '\n\n\nGoal 13', '\n\n\nGoal 15', '\n\n\nGoal 17']","
Description/achievement of initiative

The objective of the Development and Climate Alliance is to generate financial means through voluntary compensation of carbon dioxide emissions, which adheres to high international Standards and certificates.
 

 


Implementation methodologies



These financial means get invested in projects that aim to benefit other areas of development such as renewable energy us, climate and environmental protection initiatives, or the creation of crucial multi-stakeholder partnerships for achieving the SDGs. Through prevention, reduction and compensation of emissions, members of this Alliance contribute actively to the fight against climate Change and global temperature rise. At the same time, participating members have the opportunity to developing their own existing sustainable development projects around the world, offered by project developers.

The expected Impact is to create a partnership consisting of multiple stakeholders that compensate their carbon dioxide emissions and Redirect funding for fostering future development. This Displays a linkage between climate protection and the SDGs.



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


see above under description


Partner(s)


German Government; government agencies, Private Sector; Science (Academy for application-oriented Knowledge)

","['German Government; government agencies', ' Private Sector; Science (Academy for application-oriented Knowledge)']",[],,,,
The Ocean Conference  | VRIDI ,Registered: 12 October 2019,"['goal 6""', 'goal 13', 'goal 17']","

There is currently &gt; 7.3 billion tons of plastic in the Earth System, rising to 40 Bt by 2050. ~10 Mt of plastics reach the oceans every year; 12 Bt are projected to be in landfill by 2050. As these are released, the flux of plastics to surface waters, coastlines and oceans is amplified, with significant environmental, social and economic cost...
For plastics that have residual economic value there are systems to capture and reuse or recycle. However, in most cases, post-consumer waste polymers have no intrinsic economic value so if there are no policies in place, and consequently no collection and recycling, they are destined to end up in the sea. Current understanding of the pathways and fate of plastic in the environment is poorly constrained, with only fragmentary evidence restricted to parts of the cycle.Ã‚Â 

We believe we can shift whatÃ¢â‚¬â„¢s already happening and adaptation/education, action as keys in solving this climate change threaten and also we are leading the way to get more people involved in volunteering for our Environement, to have sustainability life and sustainable growth by recycling and plogging on beach with youths, students and local communities.

Waste management and sustainable growth remain an issue and/as we are willing to work on it. Actually volunteers - local community gathering together every first Saturday of the month and weekly on Wednesday for training and/or activities.

Also we are leading the way to get more people involved in volunteering for our Environement by recycling and plogging on beach. Waste managements is an issue and we are willing to work on it. Actually volunteers gathering every first Saturday of the month and weekly on Wednesday for training and/or activities.

The circular economy seeks to close the loop between product waste and manufacturing through recovery and regeneration of resources. A move to a circular economy has many potential benefits. It will increase the security of supply of materials and reduce production costs. It also encourages a focus on bio-based products and a reduced reliance on non-renewables such as fossil fuels. There are, however, many challenges associated with such a transition, such as a lack of cost-effective methods for the recycling of some bio-based products.Ã‚Â 

This project will focus on a particular aspect of plastics e.g. food packaging or reusable bottles, and will investigate the full life cycle analysis, from cradle to grade. By fully understanding the complex system, recommendations will be made as to how changes should be implemented in future.Ã‚Â 

","[""350 CÃƒâ€\x9dTE D'IVOIRE - Mairie de Port-Bouet (Service Technique) - OSC - MinistÃƒÂ¨re de l'environnment - PRODD -""]",,"['14.1 \n\n\n\n\nBy 2025, prevent and significantly reduce marine pollution of all kinds, in particular from land-based activities, including marine debris and nutrient pollution \n\n\n\nType of commitment\nNUTRIENTS\n\nFertilizer use efficiency\nManure management\nNutrient sinks (e.g. constructed wetlands)\nPLASTICS\n\nCoastal clean-ups\nPlastics product bans or restrictions \nPlastics recovery/recycling/reuse\nSHIPPING\n\nManagement of ship-based pollution and/or port waste management\nOTHER POLLUTANTS (please specify)\n\nCleaner production\nIndustrial effluent pre-treatment', '\n\n14.2 \n\n\n\n\nBy 2020, sustainably manage and protect marine and coastal ecosystems to avoid significant adverse impacts, including by strengthening their resilience, and take action for their restoration in order to achieve healthy and productive oceans \n\n\n\nType of commitment\n\nCommunity or Locally Managed Marine Areas\nIntegrated Coastal Management\nEcosystem-based Adaptation', '14.3 \n\n\n\n\nMinimize and address the impacts of ocean acidification, including through enhanced scientific cooperation at all levels \n\n\n\nType of commitment\n\nCoastal carbon sinks/blue carbon\nCO2 emission reductions (energy efficiency, renewable energy, etc.)\nScientific research and cooperation to address ocean acidification knowledge gaps', '14.4 \n\n\n\n\nBy 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics \n\n\n\nType of commitment\n\nCompliance, monitoring and enforcement\nReduction and elimination fishing practices and gear that destroy/degrade marine habitat\nEco-labelling, traceability, certification programmes ', '14.5 \n\n\n\n\nBy 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information \n\n\n\nType of commitment\n\nMultiple use marine protected area\nLocally or community managed marine areas', '14.6 \n\n\n\n\nBy 2020, prohibit certain forms of fisheries subsidies which contribute to overcapacity and overfishing, eliminate subsidies that contribute to illegal, unreported and unregulated fishing and refrain from introducing new such subsidies, recognizing that appropriate and effective special and differential treatment for developing and least developed countries should be an integral part of the World Trade Organization fisheries subsidies negotiation \n\n\n\nType of commitment\n\ninformation relating to harmful subsidies', '14.7 \n\n\n\n\nBy 2030, increase the economic benefits to Small Island developing States and least developed countries from the sustainable use of marine resources, including through sustainable management of fisheries, aquaculture and tourism \n\n\n\nType of commitment\n\nEconomic benefits from sustainable tourism\nEconomic benefits from marine renewable energy\nEconomic benefits from sustainable transport', '14.a\n\n\n\n\nIncrease scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries \n\n\n\nType of commitment\n\nResearch capacity development\nTraining and professional development\nScientific cooperation\nActions that support SIDS and LDCs', '14.b\n\n\n\n\nProvide access for small-scale artisanal fishers to marine resources and markets \n\n\n\nType of commitment\n\nLegal/policy/institutional measures\nTransfer  of fishing technology\nAccess and capacity building for eco-labelling and traceability systems\nCommunity empowerment for fisheries management', '14.c \n\n\n\n\nEnhance the conservation and sustainable use of oceans and their resources by implementing international law as reflected in UNCLOS, which provides the legal framework for the conservation and sustainable use of oceans and their resources, as recalled in paragraph 158 of The Future We Want \n \n\n\n\nType of commitment\n\nActivities to raise awareness of the comprehensive legal and policy framework for the sustainable development of oceans and seas, in particular UNCLOS, its Implementing Agreements and other relevant ocean-related instruments and promote their effective im\nStrengthening ocean governance, for example through the development of a national ocean policy or regional ocean policy']",['South Atlantic'],[],['community -']
The Ocean Conference  | Conservation and Wise Use of Mangroves and Coral Reefs in Latin America and the Caribbean ,Registered: 12 October 2019,"['goal 13', 'goal 15']","

The objective of the voluntary commitment is to increase the area and number of wetlands with mangrove ecosystems in Latin America and the Caribbean that are wisely used and conserved according to the Ramsar Convention guidelines and in line with the work plan of the regional initiative and the Strategic Plan of the Convention. To achieve this, Ramsar methodologies will be implemented in each country to:   1.	develop an inventory of priority wetlands with mangrove ecosystems for conservation Furthermore, 2.	Designate at least 14 key areas (one per country) with mangrove ecosystems as wetlands of international importance or under a national category with management plans developed for key areas. 3.Carry out a participatory rapid assessment of the ecosystem values and functions of 14 Ramsar sites with mangroves. 4.Capacity development workshops for member countries of this regional initiative on environmental flows and their implementation. 

These commitments are based on and will contribute to achieving the objectives of the Regional Initiative as outlined in their work plan, namely those related to: promoting the generation and exchange of knowledge of the cover and current status of conservation of mangroves and coral reefs among the involved Contracting Parties, through inventories and ecosystem studies to extend the Ramsar Sites list. 
Developing a regional approach for the conservation and wise use of mangroves and coral reefs by strengthening regional capacities. 
Achieving the effective management of mangroves, coral reefs and associated wetlands through integrated watershed and coastal zone management, including adaptation and mitigation measures to climate change. 
Encouraging, strengthening and disseminating basic and applied research, including traditional knowledge, socio-economic studies of mangroves, coral reefs and associated wetlands as a bottom line for the decision making the process that respond to national, regional and local agendas. 
Follow up will be done through meetings of the Regional Initiative for the Conservation and Wise Use of Mangroves and Coral Reefs and their reports as well as through the Ramsar Sites database and other reports such as those submitted to the COP. 
The Regional Initiative operates under the framework and guidelines of the Ramsar Convention on Wetlands and has a governance structure that was established in 2009. For more information on the initiative, its objectives, previous and future work, please go to https://www.ramsar.org/activity/ramsar-regional-initiatives.

",['Contracting Parties to the Ramsar Convention on Wetlands that are also members of the regional initiative.'],,"['14.2 \n\n\n\n\nBy 2020, sustainably manage and protect marine and coastal ecosystems to avoid significant adverse impacts, including by strengthening their resilience, and take action for their restoration in order to achieve healthy and productive oceans \n\n\n\nType of commitment\n\nCommunity or Locally Managed Marine Areas\nIntegrated Coastal Management\nMarine Spatial Planning \nLarge Marine Ecosystem approach\nEcosystem-based Adaptation', '14.5 \n\n\n\n\nBy 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information \n\n\n\nType of commitment\n\nMarine protected area with partial protection\nMultiple use marine protected area\nLocally or community managed marine areas\nMPA management and/or enforcement', '14.a\n\n\n\n\nIncrease scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries \n\n\n\nType of commitment\n\nTraining and professional development']",['North AtlanticNorth PacificSouth AtlanticSouth Pacific'],"['Brazil', '  Colombia', '  Costa Rica', '  Cuba', '  Dominican Republic', '  Ecuador', '  El Salvador', '  Guatemala', '  Honduras', '  Mexico', '  Nicaragua', '  Panama', '  Peru', '  Venezuela, Bolivarian Republic of']",[]
Mangrove litter cleanup - United Nations Partnerships for SDGs platform,Registered: 10 October 2019,['Goal 14'],"
Description/achievement of initiative

This project brings together social forces  to participate in coastal cleaning to secure our environment, our health, economy and future.  The local mangrove ecosystem is among the major sources of income to many people who rely on it for fisheries and the collection of wood; However both village experience high rates of mangrove degradation and pollution.Hence the main focus of the project is to increase local awareness abouth the threat from plastic pollution and mangrove degradation;
 

 


Implementation methodologies



Zaveco together with our partners the Nyamanzi Environmental Mangrove Conservation Assocition( NEMCA),  JUMKISA and NEMCA; we are determine to increase local awareness about the threat from plastic pollution and mangrove degradation.  This is achieved through educational events in local schools as as mangrove clean up events which directly address the local pollution problem.  We will also arrange for mangrove planting events around the degraded mangrove areas.  Our partnerJUMKISA have got a team of experts in mangrove forest plantation and conservation.



Arrangements for Capacity-Building and Technology Transfer 


Zaveco will be doing regular site visiting and monitoring the initiatives.  Zaveco will have regular mangrove and ocean ecosystem education to our people.



Coordination mechanisms/governance structure


Zaveco will collaboratively work with local government to inforce the control of litters.  We as Zaveco we have been working in the initiaves for the quite sometimes we are working with other local NGO's to visit and educate our societies along the coast, we will collect datas and challenges together with our partners we will continue to find solution for those challenges.  We are planing to have regulal meetings with our partners to discuss our development in fighting polution and building ecosystem.


Partner(s)


ZAVECO, JUMKISA, NEMCA,Zanzibar communities of Kisakasaka and Nyamanzi Communities of Ocean Action Mangroves

","['ZAVECO', ' JUMKISA', ' NEMCA', 'Zanzibar communities of Kisakasaka and Nyamanzi Communities of Ocean Action Mangroves']",[],,,,
Youth Climate Council - United Nations Partnerships for SDGs platform,"Start: 06 March, 2019","['Goal 4', '\n\n\nGoal 12', '\n\n\nGoal 13', '\n\n\nGoal 16', '\n\n\nGoal 17']","
Description

                            The Youth Climate Council, is an independent youth-led advisory board to the climate minister. The Youth Climate Council is something the Danish Youth Delegates and the Youth Council (an umbrella organisation of 75 youth-led organisations including for example scouts, student councils, and all the political youth parties) have successfully pushed for the government to establish. The Youth Climate Council gathers input from young people all over the country and formulates concrete policy proposals to the minister. The proposals are then included in the policy processes to give young people a channel for directly influencing the development of climate policies. We also have a local level Youth Climate Councils in some cities, showing how meaningful youth engagement is important on all decision making levels. We want to show that young people are not just “energetic” and “good at thinking out of the box”, we are also knowledgeable and capable of translating our ambitions into concrete policies that governments need to listen to.
                        
Expected impact

                            The Youth Climate Council meets with the Climate Minister several times per year to give policy inputs on behalf of Danish young people. This will accelerate climate action because more ideas are action.  put into play, and because young people are more ambitious on the climate agenda than older generations. The Youth Climate Council also participates in external events to gather input from young people and to raise awareness about climate  policies in all parts of society. This year they have participated in more than 60 external events. They furthermore contribute to the public debate by frequently making statements in the media and writing opinion pieces to newspapers. This awareness raising builds public support for more ambitious climate
                        
Website


",['1) Young people in Denmark who will get their voices heard\\r\\n2) People who will benefit from better climate solutions due to a broader input being used in the climate action'],"['Monika Skadborg, Chairperson, monika.skadborg@gmail.com, 004525176288']",,,,
The Ocean Conference  | Tokio Marine's Mangrove-based Value Co-Creation 100-Year Declaration,Registered: 7 October 2019,"['goal 1""', 'goal 6""', 'goal 11', 'goal 13', 'goal 15', 'goal 17']","

Tokio Marine & Nichido (hereinafter ""Tokio Marine"") has been providing Mangrove-based Solutions as a Insurance for the Future of the Earth globally since 1999, and has adhered to its Mangrove Planting 100-Year Declaration. We hereby refresh the Declaration with our aspiration to continue creating social value with you. Tokio Marine recognizes a wide range of benefits generated by mangroves, including mitigation of the threat of climate change and disaster damages, protecting the rich treasures of ocean and land, and making our lives and society safe, secure and sustainable. We have also been providing an environmental awareness raising program Green Lessons, which features mangroves, and strives to continue it from now on.

","['Action for Mangrove Reforestation (ACTMANG)\nOISCA International\nInternational Society for Mangrove Ecosystems (ISME)\nInternational Research Institute of Disaster Science (IRIDeS)', ' Tohoku University']",,"['14.1 \n\n\n\n\nBy 2025, prevent and significantly reduce marine pollution of all kinds, in particular from land-based activities, including marine debris and nutrient pollution \n\n\n\nType of commitment\nPLASTICS\n\nCoastal clean-ups', '\n\n14.2 \n\n\n\n\nBy 2020, sustainably manage and protect marine and coastal ecosystems to avoid significant adverse impacts, including by strengthening their resilience, and take action for their restoration in order to achieve healthy and productive oceans \n\n\n\nType of commitment\n\nCommunity or Locally Managed Marine Areas\nIntegrated Coastal Management\nEcosystem-based Adaptation', '14.7 \n\n\n\n\nBy 2030, increase the economic benefits to Small Island developing States and least developed countries from the sustainable use of marine resources, including through sustainable management of fisheries, aquaculture and tourism \n\n\n\nType of commitment\n\nEconomic benefits from sustainable fisheries']",['Global'],[],"['Insurance customers, Insurance agents']"
EmPowered - United Nations Partnerships for SDGs platform,Registered: 7 October 2019,"['Goal 7', '\n\n\nGoal 13']","
Description/achievement of initiative

The SolaFin2Go project will address the challenge of providing standalone solar systems to make available cost-effective and affordable access to electricity and thermal hot water for off-grid households in sub-Saharan Africa. The objective is to test the feasibility of 'entry-level' technological solutions combining novel PV and solar thermal technologies financed through improved business PAYG models (enabled by the innovative FinTech platform through Mobile, Cloud and Blockchain technologies) that fit with household/community circumstances to provide basic electrification and hot water.
 

 


Implementation methodologies



Stage 1
Research barriers to adoption
Develop solutions to be tested 
Proof of Concept installed in demonstration community 
Monitoring, reporting, and adaption.
Develop a stage 2 project for a scaled field trial learning from stage 1 PoC



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


Collaboration agreement between all partners has been signed. Lead Partner for Stage 1 Ulster University.


Partner(s)


Center for Sustainable technology (University of Ulster) (UK)
SolaForm Ltd (UK)
DP Sun Ltd (UK)
Empowered (Pty) Botswana

",['Center for Sustainable technology (University of Ulster) (UK)\nSolaForm Ltd (UK)\nDP Sun Ltd (UK)\nEmpowered (Pty) Botswana'],[],,,,
Proficiency Olympiad - United Nations Partnerships for SDGs platform,Registered: 6 October 2019,['Goal 4'],"
Description/achievement of initiative

Proficiency Olympiad is an online MCQ assessment, followed by activity-based workshops on global goals. It assesses and evaluates in 30 minutes the minimum knowledge of SDGs. For a sustainable future tomorrow, it is crucial to educate current and future decision-makers about the important role they play in building a sustainable future. Learning will help them make informed decisions, thereby driving change and making an impact. This assessment is applicable to students all over the world, from grades 3 to 12.

 

 


Implementation methodologies



All the questions in this assessment will ensure that the future decision-makers have the basic required knowledge on sustainable development and their future roles and responsibilities. The scope of the assessment covers general questions on the challenges the world is facing and also on specific sustainable development goals, along with meeting the curriculum objectives of the students.



Arrangements for Capacity-Building and Technology Transfer 


Proficiency Olympiad is in the process of building an LMS platform, which will be accessible to all the students registered with us. The platform would include courses, quizzes, assignments and activities from their curriculum in alignment with the SDGs. It will also contain information regarding how they can engage in the achievement of SDGs globally and locally, help them make informed decisions, engage in activities and make an impact.



Coordination mechanisms/governance structure


Partner(s)


Potential Partners: UNDP, UNESCO, UNICEF, Government of Telangana, Government of India, Schools and Educational Institutions

","['Potential Partners: UNDP', ' UNESCO', ' UNICEF', ' Government of Telangana', ' Government of India', ' Schools and Educational Institutions']",['India'],,,,
Global Hub on the Governance for the SDGs - United Nations Partnerships for SDGs platform,"Start: 25 September, 2019","['Goal 1', '\n\n\nGoal 2', '\n\n\nGoal 3', '\n\n\nGoal 4', '\n\n\nGoal 5', '\n\n\nGoal 6', '\n\n\nGoal 7', '\n\n\nGoal 8', '\n\n\nGoal 9', '\n\n\nGoal 10', '\n\n\nGoal 11', '\n\n\nGoal 12', '\n\n\nGoal 13', '\n\n\nGoal 14', '\n\n\nGoal 15', '\n\n\nGoal 16', '\n\n\nGoal 17']","
Description

                            Achieving progress on the Sustainable Development Goals will require governments to coordinate, consult and work across policy areas in an unprecedented way. It will require the strategic use of budget, procurement and regulatory tools and the design and implementation of innovative, forward-looking policies and programmes. All these issues can be part of a ‘governance’ agenda, which not only is a goal in itself, but also an essential enabler for the achievement of all other goals.
With a view to strengthening the public governance practices that are pre-requisites for effective SDG implementation, the Global Hub will draw on insights from OECD member and partner country experiences and help governments develop fit-for-purpose public governance systems to deliver on the SDGs.
                        
Expected impact

                            The Global Hub on the Governance for the SDGs will help governments in implementing the 2030 Agenda by addressing central governance challenges. It does so by operating as a helpdesk for countries and institutions to draw on as needed. It provides an online Knowledge Platform for national experts and practitioners to interact, learn from each other and give advice on tackling specific governance bottlenecks. Its support is tailored to national priorities and circumstances and engages public authorities and other key stakeholders directly in a dialogue to build capacity for the effective use of governance mechanisms for the SDGs.
Through its work, the Global Hub will help countries enhance their governance practices in the following areas:
•	Creating a whole-of-government approach to address the SDGs in an integrated way.
•	Equipping policy practitioners with the right leadership skills and competencies, including people management and technical skills.
•	Enhancing budgeting tools to account for the SDGs and other cross-cutting priorities such as environmental and gender considerations.
•	Building a culture of integrity in support of the SDGs.
•	Increasing transparency and participation throughout the policy making cycle.
•	Enhancing monitoring and evaluation systems in support of the SDGs.
•	Supporting gender equality in public life.
•	Making access to justice equal, especially for vulnerable groups.
                        
Website

https://www.oecd.org/gov/pcsd/launchoftheglobalhubonthegovernanceforthesdgs.htm

","['In the spirit of partnership and collaboration of the 2030 Agenda', ' the Global Hub seeks to foster the exchange of knowledge between stakeholders beyond government officials', ' including   civil society', ' academia', ' the private sector and international organisations.']","['Sara Fyson, Counsellor, Public Governance Directorate Head of Sustainable Development Unit, Sara.Fyson@oecd.org,']",,,,
