"title","rating","x","round","sigma","z","n"
"Untouchables Sunrise","NC-17","11.99","20.26","5.94","-1.39","2"
"Vampire Whale","NC-17","11.99","20.26","5.94","-1.39","3"
"Westward Seabiscuit","NC-17","11.99","20.26","5.94","-1.39","7"
"Apocalypse Flamingos","R","11.99","20.46","5.96","-1.42","2"
"Boogie Amelie","R","11.99","20.46","5.96","-1.42","8"
"Boulevard Mob","R","11.99","20.46","5.96","-1.42","6"
"Frida Slipper","R","11.99","20.46","5.96","-1.42","4"
"Killer Innocent","R","11.99","20.46","5.96","-1.42","2"
"Madison Trap","R","11.99","20.46","5.96","-1.42","4"
"Streetcar Intentions","R","11.99","20.46","5.96","-1.42","8"
"Terminator Club","R","11.99","20.46","5.96","-1.42","3"
"Yentl Idaho","R","11.99","20.46","5.96","-1.42","6"
"Cowboy Doom","PG","10.99","19.22","5.71","-1.44","2"
"Gaslight Crusade","PG","10.99","19.22","5.71","-1.44","6"
"Mile Mulan","PG","10.99","19.22","5.71","-1.44","3"
"Secretary Rouge","PG","10.99","19.22","5.71","-1.44","6"
"Stock Glass","PG","10.99","19.22","5.71","-1.44","4"
"Super Wyoming","PG","10.99","19.22","5.71","-1.44","4"
"Tootsie Pilot","PG","10.99","19.22","5.71","-1.44","4"
"Amistad Midsummer","G","10.99","20.46","6.34","-1.49","7"
"Armageddon Lost","G","10.99","20.46","6.34","-1.49","7"
"Intrigue Worst","G","10.99","20.46","6.34","-1.49","7"
"Jaws Harry","G","10.99","20.46","6.34","-1.49","5"
"Mulan Moon","G","10.99","20.46","6.34","-1.49","3"
"Mussolini Spoilers","G","10.99","20.46","6.34","-1.49","2"
"Potluck Mixed","G","10.99","20.46","6.34","-1.49","3"
"Turn Star","G","10.99","20.46","6.34","-1.49","4"
"Warlock Werewolf","G","10.99","20.46","6.34","-1.49","2"
"Blade Polish","PG-13","10.99","20.68","6.31","-1.54","6"
"Contact Anonymous","PG-13","10.99","20.68","6.31","-1.54","7"
"Dolls Rage","PG-13","10.99","20.68","6.31","-1.54","3"
"Evolution Alter","PG-13","10.99","20.68","6.31","-1.54","4"
"Holiday Games","PG-13","10.99","20.68","6.31","-1.54","4"
"Kick Savannah","PG-13","10.99","20.68","6.31","-1.54","5"
"Lucky Flying","PG-13","10.99","20.68","6.31","-1.54","3"
"October Submarine","PG-13","10.99","20.68","6.31","-1.54","3"
"Platoon Instinct","PG-13","10.99","20.68","6.31","-1.54","2"
"Saddle Antitrust","PG-13","10.99","20.68","6.31","-1.54","3"
"Trainspotting Strangers","PG-13","10.99","20.68","6.31","-1.54","3"
"Translation Summer","PG-13","10.99","20.68","6.31","-1.54","4"
"Wrong Behavior","PG-13","10.99","20.68","6.31","-1.54","7"
"Alien Center","NC-17","10.99","20.26","5.94","-1.56","6"
"Artist Coldblooded","NC-17","10.99","20.26","5.94","-1.56","4"
"Balloon Homeward","NC-17","10.99","20.26","5.94","-1.56","6"
"Coma Head","NC-17","10.99","20.26","5.94","-1.56","7"
"Ending Crowds","NC-17","10.99","20.26","5.94","-1.56","3"
"Harold French","NC-17","10.99","20.26","5.94","-1.56","2"
"Nuts Ties","NC-17","10.99","20.26","5.94","-1.56","3"
"Rouge Squad","NC-17","10.99","20.26","5.94","-1.56","5"
"Videotape Arsenic","NC-17","10.99","20.26","5.94","-1.56","7"
"Witches Panic","NC-17","10.99","20.26","5.94","-1.56","7"
"Zhivago Core","NC-17","10.99","20.26","5.94","-1.56","2"
"Candidate Perdition","R","10.99","20.46","5.96","-1.59","6"
"Finding Anaconda","R","10.99","20.46","5.96","-1.59","3"
"Giant Troopers","R","10.99","20.46","5.96","-1.59","8"
"Highball Potter","R","10.99","20.46","5.96","-1.59","6"
"Lock Rear","R","10.99","20.46","5.96","-1.59","4"
"Sling Luke","R","10.99","20.46","5.96","-1.59","2"
"Cider Desire","PG","9.99","19.22","5.71","-1.62","6"
"Maiden Home","PG","9.99","19.22","5.71","-1.62","6"
"Newton Labyrinth","PG","9.99","19.22","5.71","-1.62","5"
"Opposite Necklace","PG","9.99","19.22","5.71","-1.62","3"
"Papi Necklace","PG","9.99","19.22","5.71","-1.62","2"
"Paths Control","PG","9.99","19.22","5.71","-1.62","4"
"Star Operation","PG","9.99","19.22","5.71","-1.62","7"
"Talented Homicide","PG","9.99","19.22","5.71","-1.62","7"
"Trojan Tomorrow","PG","9.99","19.22","5.71","-1.62","6"
"Control Anthem","G","9.99","20.46","6.34","-1.65","2"
"Daisy Menagerie","G","9.99","20.46","6.34","-1.65","4"
"Dude Blindness","G","9.99","20.46","6.34","-1.65","4"
"Encino Elf","G","9.99","20.46","6.34","-1.65","6"
"Heartbreakers Bright","G","9.99","20.46","6.34","-1.65","7"
"Truman Crazy","G","9.99","20.46","6.34","-1.65","6"
"Young Language","G","9.99","20.46","6.34","-1.65","2"
"Factory Dragon","PG-13","9.99","20.68","6.31","-1.69","4"
"Gandhi Kwai","PG-13","9.99","20.68","6.31","-1.69","4"
"Gunfighter Mussolini","PG-13","9.99","20.68","6.31","-1.69","4"
"Matrix Snowman","PG-13","9.99","20.68","6.31","-1.69","2"
"Metropolis Coma","PG-13","9.99","20.68","6.31","-1.69","8"
"Telemark Heartbreakers","PG-13","9.99","20.68","6.31","-1.69","8"
"Theory Mermaid","PG-13","9.99","20.68","6.31","-1.69","4"
"Thin Sagebrush","PG-13","9.99","20.68","6.31","-1.69","4"
"Valentine Vanishing","PG-13","9.99","20.68","6.31","-1.69","3"
"Wait Cider","PG-13","9.99","20.68","6.31","-1.69","6"
"Edge Kissing","NC-17","9.99","20.26","5.94","-1.73","4"
"Fellowship Autumn","NC-17","9.99","20.26","5.94","-1.73","6"
"Jason Trap","NC-17","9.99","20.26","5.94","-1.73","7"
"Life Twisted","NC-17","9.99","20.26","5.94","-1.73","2"
"North Tequila","NC-17","9.99","20.26","5.94","-1.73","3"
"Notorious Reunion","NC-17","9.99","20.26","5.94","-1.73","4"
"Stepmom Dream","NC-17","9.99","20.26","5.94","-1.73","7"
"Sting Personal","NC-17","9.99","20.26","5.94","-1.73","8"
"Anaconda Confessions","R","9.99","20.46","5.96","-1.76","5"
"Kissing Dolls","R","9.99","20.46","5.96","-1.76","5"
"Pluto Oleander","R","9.99","20.46","5.96","-1.76","4"
"Purple Movie","R","9.99","20.46","5.96","-1.76","4"
"Roxanne Rebel","R","9.99","20.46","5.96","-1.76","5"
"Sun Confessions","R","9.99","20.46","5.96","-1.76","7"
