"title","rating","x","round","sigma","z"
"Terminator Club","R","11.99","20.23","5.79","-1.42"
"Yentl Idaho","R","11.99","20.23","5.79","-1.42"
"Amistad Midsummer","G","10.99","20.12","6.39","-1.43"
"Armageddon Lost","G","10.99","20.12","6.39","-1.43"
"Catch Amistad","G","10.99","20.12","6.39","-1.43"
"Intrigue Worst","G","10.99","20.12","6.39","-1.43"
"Jaws Harry","G","10.99","20.12","6.39","-1.43"
"Mulan Moon","G","10.99","20.12","6.39","-1.43"
"Mussolini Spoilers","G","10.99","20.12","6.39","-1.43"
"Potluck Mixed","G","10.99","20.12","6.39","-1.43"
"Turn Star","G","10.99","20.12","6.39","-1.43"
"Warlock Werewolf","G","10.99","20.12","6.39","-1.43"
"Blade Polish","PG-13","10.99","20.40","6.32","-1.49"
"Contact Anonymous","PG-13","10.99","20.40","6.32","-1.49"
"Dolls Rage","PG-13","10.99","20.40","6.32","-1.49"
"Evolution Alter","PG-13","10.99","20.40","6.32","-1.49"
"Holiday Games","PG-13","10.99","20.40","6.32","-1.49"
"Kick Savannah","PG-13","10.99","20.40","6.32","-1.49"
"Lucky Flying","PG-13","10.99","20.40","6.32","-1.49"
"October Submarine","PG-13","10.99","20.40","6.32","-1.49"
"Platoon Instinct","PG-13","10.99","20.40","6.32","-1.49"
"Saddle Antitrust","PG-13","10.99","20.40","6.32","-1.49"
"Trainspotting Strangers","PG-13","10.99","20.40","6.32","-1.49"
"Translation Summer","PG-13","10.99","20.40","6.32","-1.49"
"Wrong Behavior","PG-13","10.99","20.40","6.32","-1.49"
"Alien Center","NC-17","10.99","20.14","5.93","-1.54"
"Artist Coldblooded","NC-17","10.99","20.14","5.93","-1.54"
"Balloon Homeward","NC-17","10.99","20.14","5.93","-1.54"
"Coma Head","NC-17","10.99","20.14","5.93","-1.54"
"Ending Crowds","NC-17","10.99","20.14","5.93","-1.54"
"Harold French","NC-17","10.99","20.14","5.93","-1.54"
"Nuts Ties","NC-17","10.99","20.14","5.93","-1.54"
"Pearl Destiny","NC-17","10.99","20.14","5.93","-1.54"
"Rouge Squad","NC-17","10.99","20.14","5.93","-1.54"
"Videotape Arsenic","NC-17","10.99","20.14","5.93","-1.54"
"Witches Panic","NC-17","10.99","20.14","5.93","-1.54"
"Zhivago Core","NC-17","10.99","20.14","5.93","-1.54"
"Cider Desire","PG","9.99","18.96","5.67","-1.58"
"Maiden Home","PG","9.99","18.96","5.67","-1.58"
"Newton Labyrinth","PG","9.99","18.96","5.67","-1.58"
"Opposite Necklace","PG","9.99","18.96","5.67","-1.58"
"Papi Necklace","PG","9.99","18.96","5.67","-1.58"
"Paths Control","PG","9.99","18.96","5.67","-1.58"
"Star Operation","PG","9.99","18.96","5.67","-1.58"
"Talented Homicide","PG","9.99","18.96","5.67","-1.58"
"Trojan Tomorrow","PG","9.99","18.96","5.67","-1.58"
"Control Anthem","G","9.99","20.12","6.39","-1.59"
"Daisy Menagerie","G","9.99","20.12","6.39","-1.59"
"Dude Blindness","G","9.99","20.12","6.39","-1.59"
"Encino Elf","G","9.99","20.12","6.39","-1.59"
"Heartbreakers Bright","G","9.99","20.12","6.39","-1.59"
"Truman Crazy","G","9.99","20.12","6.39","-1.59"
"Young Language","G","9.99","20.12","6.39","-1.59"
"Candidate Perdition","R","10.99","20.23","5.79","-1.60"
"Finding Anaconda","R","10.99","20.23","5.79","-1.60"
"Giant Troopers","R","10.99","20.23","5.79","-1.60"
"Highball Potter","R","10.99","20.23","5.79","-1.60"
"Lock Rear","R","10.99","20.23","5.79","-1.60"
"Sling Luke","R","10.99","20.23","5.79","-1.60"
"Factory Dragon","PG-13","9.99","20.40","6.32","-1.65"
"Gandhi Kwai","PG-13","9.99","20.40","6.32","-1.65"
"Gunfighter Mussolini","PG-13","9.99","20.40","6.32","-1.65"
"Matrix Snowman","PG-13","9.99","20.40","6.32","-1.65"
"Metropolis Coma","PG-13","9.99","20.40","6.32","-1.65"
"Telemark Heartbreakers","PG-13","9.99","20.40","6.32","-1.65"
"Theory Mermaid","PG-13","9.99","20.40","6.32","-1.65"
"Thin Sagebrush","PG-13","9.99","20.40","6.32","-1.65"
"Valentine Vanishing","PG-13","9.99","20.40","6.32","-1.65"
"Wait Cider","PG-13","9.99","20.40","6.32","-1.65"
"Edge Kissing","NC-17","9.99","20.14","5.93","-1.71"
"Fellowship Autumn","NC-17","9.99","20.14","5.93","-1.71"
"Jason Trap","NC-17","9.99","20.14","5.93","-1.71"
"Life Twisted","NC-17","9.99","20.14","5.93","-1.71"
"North Tequila","NC-17","9.99","20.14","5.93","-1.71"
"Notorious Reunion","NC-17","9.99","20.14","5.93","-1.71"
"Stepmom Dream","NC-17","9.99","20.14","5.93","-1.71"
"Sting Personal","NC-17","9.99","20.14","5.93","-1.71"
"Anaconda Confessions","R","9.99","20.23","5.79","-1.77"
"Deliverance Mulholland","R","9.99","20.23","5.79","-1.77"
"Kissing Dolls","R","9.99","20.23","5.79","-1.77"
"Pluto Oleander","R","9.99","20.23","5.79","-1.77"
"Purple Movie","R","9.99","20.23","5.79","-1.77"
"Roxanne Rebel","R","9.99","20.23","5.79","-1.77"
"Sun Confessions","R","9.99","20.23","5.79","-1.77"
