id,name,type,city_name,subcountry_name,country_name,site
4571,Marine Conservation Society,Ngo,Ross-On-Wye,,United Kingdom,"Ross-On-Wye, , United Kingdom"
4572,Marine Ecosystem Services Partnership,Ngo,Arendal,,Norway,"Arendal, , Norway"
4573,Marine Education Training Center,Acad,Honolulu,,United States,"Honolulu, , United States"
4574,"Marine Environment And Resources Foundation, Inc.",Ngo,Quezon City,,Philippines,"Quezon City, , Philippines"
4575,Marine Environmental Data And Information Network,Sci,Liverpool,,United Kingdom,"Liverpool, , United Kingdom"
4576,Marine Environmental Observation Prediction And Response Network,Sci,Halifax,,Canada,"Halifax, , Canada"
4577,Marine Field Station Plakias - Dive2gether,Ngo,Retheymo,,Crete,"Retheymo, , Crete"
4578,Marine Harvest,Priv,Bergen,,Norway,"Bergen, , Norway"
4579,Marine Hydrophysical Institute Of The Ukrainian Academy Of Sciences,Sci,Sevastopol,,Ukraine,"Sevastopol, , Ukraine"
4580,Marine Institute Of Newfoundland,Acad,St. John'S,,Canada,"St. John'S, , Canada"
4581,Marine Research Center,Sci,Male,,Maldives,"Male, , Maldives"
4582,Marine Research Institute,Natgov,Reykjavik,,Iceland,"Reykjavik, , Iceland"
6637,Sinopec Sd,Priv,Beijing,,China,"Beijing, , China"
4583,Marine Research National Institute,Sci,Santa Marta,,Colombia,"Santa Marta, , Colombia"
4584,Marine Scotland,Subgov,Edinburgh,,United Kingdom,"Edinburgh, , United Kingdom"
4585,Marine Stewardship Council,Ngo,London,,United Kingdom,"London, , United Kingdom"
4586,Marine Studies Center,Sci,Tegucigalpa,,Honduras,"Tegucigalpa, , Honduras"
4587,Marine Watch International,Ngo,San Francisco,,United States,"San Francisco, , United States"
4588,Marine-Change,Priv,Hong Kong,,China,"Hong Kong, , China"
4589,Marinecolaboration,Ngo,London,,United Kingdom,"London, , United Kingdom"
4590,"Marinecultures.Org - Zanzibar, East Africa",Ngo,Zurich,,Switzerland,"Zurich, , Switzerland"
4591,Marine-Fisheries Flanders,Sci,Oostende,,Belgium,"Oostende, , Belgium"
4592,Maritime Aboriginal Peoples Council,Ngo,Truro Heights,,Canada,"Truro Heights, , Canada"
4593,Maritime Battery Forum,Priv,Oslo,,Norway,"Oslo, , Norway"
4594,Maritime Cluster Of West Sweden,Ngo,Gothenburg,,Sweden,"Gothenburg, , Sweden"
4595,Maritime Fishermen'S Union,Ngo,Shediac,,Canada,"Shediac, , Canada"
4596,Maritime Innovative Territories International Network,Ngo,Brest,,France,"Brest, , France"
4597,Marks And Spencer,Priv,London,,United Kingdom,"London, , United Kingdom"
4598,Marriot International,Priv,Bethesda,,United States,"Bethesda, , United States"
4599,Mars Group,Priv,Mclean,,United States,"Mclean, , United States"
4600,Mars Omega Llp,Priv,London,,United Kingdom,"London, , United Kingdom"
4601,Marshall Islands,Natgov,Majuro,,Marshall Islands,"Majuro, , Marshall Islands"
4602,Marshall Islands Coastal Management Advisory Council,Ngo,Majuro,,Marshall Islands,"Majuro, , Marshall Islands"
4603,Marshall Islands Conservation Society,Ngo,Majuro,,Marshall Islands,"Majuro, , Marshall Islands"
4604,Marshall Islands Development Bank,Priv,Majuro,,Marshall Islands,"Majuro, , Marshall Islands"
4605,Marshall Islands Marine Resources Authority,Natgov,Majuro,,Marshall Islands,"Majuro, , Marshall Islands"
4606,Marshalls Energy Company,Priv,Majuro,,Marshall Islands,"Majuro, , Marshall Islands"
4607,Marthe Van Rijswijck Foundation,Ngo,Oldeberkoop,,Netherlands,"Oldeberkoop, , Netherlands"
4608,Martin Luther University Halle Wittenberg,Acad,Halle,,Germany,"Halle, , Germany"
4609,Martina Berto,Priv,Jakarta,,Indonesia,"Jakarta, , Indonesia"
4610,Maruha Nichiro,Priv,Tokyo,,Japan,"Tokyo, , Japan"
4611,Marviva Foundation,Ngo,Panama City,,Panama,"Panama City, , Panama"
4612,Mas Kagin Tapani Association Inc,Ngo,Port Moresby,,Papua New Guinea,"Port Moresby, , Papua New Guinea"
4613,Masdar City,Subgov,Masdar City,,United Arab Emirates,"Masdar City, , United Arab Emirates"
4614,Maser Consulting,Priv,Red Bank,,United States,"Red Bank, , United States"
4615,Masisa Internacional,Priv,Santiago,,Chile,"Santiago, , Chile"
4616,Massachusetts,Subgov,Boston,,United States,"Boston, , United States"
4617,Massachusetts Institute Of Technology,Acad,Cambridge,,United States,"Cambridge, , United States"
4618,Massey University,Acad,Palmerston North,,New Zealand,"Palmerston North, , New Zealand"
4619,Masta,Ngo,Puerto Lempira,Gracias A Dios,Honduras,"Puerto Lempira, Gracias A Dios, Honduras"
4620,Mastercard,Priv,Purchase,,United States,"Purchase, , United States"
4621,Mastercard Foundation,Ngo,Toronto,,Canada,"Toronto, , Canada"
4622,Masyarakat Selam Indonesia Masi,Ngo,Jakarta,,Indonesia,"Jakarta, , Indonesia"
4623,Mata Amritanandamayi Mata,Ngo,Vallikavu,,India,"Vallikavu, , India"
4624,Mathesis Consulting,Priv,London,,United Kingdom,"London, , United Kingdom"
4625,Mathletics,Priv,New York City,,United States,"New York City, , United States"
4626,Mato Grosso State,Subgov,Cuiabá,,Brazil,"Cuiabá, , Brazil"
4627,Mato-Grossense Association Of Municipalities,Ngo,Cuiabá,,Brazil,"Cuiabá, , Brazil"
4628,Matson Shipping Company,Priv,Honolulu,,United States,"Honolulu, , United States"
4629,Matura National Park Stakeholders,Ngo,Port Of Spain,,Trinidad And Tobago,"Port Of Spain, , Trinidad And Tobago"
4630,Maui Nui Marine Resource Council,Ngo,Kihei,,United States,"Kihei, , United States"
4631,Mauritania,Natgov,Nouakchott,,Mauritania,"Nouakchott, , Mauritania"
4632,Mauritius,Natgov,Port Louis,,Mauritius,"Port Louis, , Mauritius"
4633,Mauritius Export Association,Priv,Port Louis,,Mauritius,"Port Louis, , Mauritius"
4634,Mauritius Marine Conservation Society,Ngo,Phoenix,,Mauritius,"Phoenix, , Mauritius"
4635,Mauritius Oceanography Institute,Acad,Albion,,Mauritius,"Albion, , Mauritius"
4636,Mauritius Ports Authority,Natgov,Port Louis,,Mauritius,"Port Louis, , Mauritius"
4637,Mauritius Research Council,Natgov,Ebene,,Mauritius,"Ebene, , Mauritius"
4638,Max And Marjorie Fisher Foundation,Ngo,Southfield,,United States,"Southfield, , United States"
4639,Max Chemicals,Priv,Paonta Sahib,,India,"Paonta Sahib, , India"
4640,Max Planck Institute For Meteorology,Sci,Hamburg,,Germany,"Hamburg, , Germany"
4641,Maya Clan Customary Law-Based Community Organization Of Raja Ampat,Ngo,Raja Ampat,,Indonesia,"Raja Ampat, , Indonesia"
4642,Maya Traditions Foundation,Ngo,Panajachel,,Guatemala,"Panajachel, , Guatemala"
4643,"Mayab Ecologist Group, A.C.",Ngo,Cancun,,Mexico,"Cancun, , Mexico"
4644,Mayan Families,Ngo,Santee,,United States,"Santee, , United States"
4645,Mayo Clinic,Ngo,Rochester,,United States,"Rochester, , United States"
4646,Maze,Priv,Lisbon,,Portugal,"Lisbon, , Portugal"
4647,Mbarara University Of Science And Technology,Acad,Mbarara,,Uganda,"Mbarara, , Uganda"
4648,Mcb Seafood,Priv,Newhaven,,United Kingdom,"Newhaven, , United Kingdom"
4649,Mccann Healthcare,Priv,New York City,,United States,"New York City, , United States"
4650,Mcdonald'S Corporation,Priv,Chicago,,United States,"Chicago, , United States"
4651,Mcgill University,Acad,Montreal,,Canada,"Montreal, , Canada"
4652,Mckinsey And Company,Priv,New York City,,United States,"New York City, , United States"
4653,Mcnaughton Group,Priv,Honolulu,,United States,"Honolulu, , United States"
4654,Mdg Health Alliance,Ngo,New York City,,United States,"New York City, , United States"
4655,Meadwestvaco,Priv,Richmond,,United States,"Richmond, , United States"
4656,Medasset,Ngo,Alpharetta,,Greece,"Alpharetta, , Greece"
4657,Medecins Sans Frontiere,Ngo,Geneva,,Switzerland,"Geneva, , Switzerland"
4658,Medellin,Subgov,Medellin,,Spain,"Medellin, , Spain"
4659,Medialternative Group,Priv,Port Au Prince,,Haiti,"Port Au Prince, , Haiti"
4660,Medical University Of South Carolina,Acad,Charleston,,United States,"Charleston, , United States"
4661,Medicines For Malaria Ventures,Ngo,Geneva,,Switzerland,"Geneva, , Switzerland"
4662,Mediterenean Institute Of Quality,Sci,Toulon,,France,"Toulon, , France"
4663,Mediterranean Action Plan,Un,Athens,,Greece,"Athens, , Greece"
4664,Mediterranean Agronomic Institute Of Bari,Acad,Valenzano,,Italy,"Valenzano, , Italy"
4665,Mediterranean Association To Save The Sea Turtles,Ngo,Kent,,United Kingdom,"Kent, , United Kingdom"
4666,Mediterranean Consortium,Priv,Rome,,Italy,"Rome, , Italy"
4667,Mediterranean Energy And Ecology Center,Priv,Kiryat Ono,,Israel,"Kiryat Ono, , Israel"
4668,Mediterranean Energy Association,Ngo,Brussels,,Belgium,"Brussels, , Belgium"
4669,"Mediterranean Information Office For Environment, Culture And Sustainable Development",Ngo,Athens,,Greece,"Athens, , Greece"
4670,Mediterranean Institute For Advanced Studies,Acad,Illes De Balears,,Spain,"Illes De Balears, , Spain"
4671,Mediterranean Institute Of Water,Ngo,Marseille,,France,"Marseille, , France"
4672,Mediterranean Network Of Basin Organizations,Ngo,Valencia,,Spain,"Valencia, , Spain"
4673,Mediterranean Observatory Of Energy,Ngo,Bogota,,Colombia,"Bogota, , Colombia"
7392,Ulula,Priv,Toronto,,Canada,"Toronto, , Canada"
4674,Mediterranean Protected Areas Network,Ngo,Marseille,,France,"Marseille, , France"
4675,Mediterranean Renewable Energy Center Regional Center,Sci,Tunis,,Tunisia,"Tunis, , Tunisia"
4676,Mediterranean Universities,Acad,Marseille,,France,"Marseille, , France"
4677,Mediterranean University Of Reggio Calabria,Acad,Reggio Calabria,,Italy,"Reggio Calabria, , Italy"
4678,Mediterrania Centre Of Ecological Initiatives,Ngo,Tarragona,,Spain,"Tarragona, , Spain"
4679,Medium And Sanitas,Ngo,Slobozia,,Romania,"Slobozia, , Romania"
4680,Medknow Publishers,Priv,Mumbai,,India,"Mumbai, , India"
4681,Medpan,Ngo,Marseille,,France,"Marseille, , France"
4682,Medsin Aberdeen,Ngo,Aberdeen,,United Kingdom,"Aberdeen, , United Kingdom"
4683,Medtronic Foundation,Ngo,Minneapolis,,United States,"Minneapolis, , United States"
4684,Meera Foundation,Ngo,Madurai,,India,"Madurai, , India"
4685,Mega Design,Priv,Port Louis,,Mauritius,"Port Louis, , Mauritius"
4686,Meghalaya State,Subgov,Shillong,,India,"Shillong, , India"
4687,Megtec Systems,Priv,Gothenburg,,Sweden,"Gothenburg, , Sweden"
4688,Mehran University Of Engineering And Technology,Acad,Jamshoro,,Pakistan,"Jamshoro, , Pakistan"
4689,Mekanism,Priv,San Francisco,,United States,"San Francisco, , United States"
4690,Mekong River Commission,Intergov,Phnom Penh,,Cambodia,"Phnom Penh, , Cambodia"
4691,Melanesia Spearhead Group,Ngo,Port Vila,,Vanuatu,"Port Vila, , Vanuatu"
4692,Melania,Ngo,The Hague,,Netherlands,"The Hague, , Netherlands"
4693,Melbourne University,Acad,Melbourne,,Australia,"Melbourne, , Australia"
4694,Melo Group,Priv,Panama City,,Panama,"Panama City, , Panama"
4695,Memorandum Of Understanding On The Conservation Of Migratory Sharks,Un,Bonn,,Germany,"Bonn, , Germany"
4696,Men Engage Network,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
4697,Mendeleev University Of Chemical Technology,Acad,Moscow,,Russia,"Moscow, , Russia"
4698,Men'S Land International Federation,Ngo,Geneva,,Switzerland,"Geneva, , Switzerland"
4699,"Merced Foundation Querétaro, A.C.",Ngo,Santiago De Querétaro,,Mexico,"Santiago De Querétaro, , Mexico"
4700,Merck,Priv,Kenilworth,,United States,"Kenilworth, , United States"
4701,Merck For Mothers,Ngo,Kenilworth,,United States,"Kenilworth, , United States"
4702,Mercotur: Smart Solutions For Sustainable Tourism,Priv,Boa Vista,,Brazil,"Boa Vista, , Brazil"
4703,Mercuriados,Ngo,Santiago De Compostela,,Spain,"Santiago De Compostela, , Spain"
4704,Merip,Priv,Kolonia,,Micronesia,"Kolonia, , Micronesia"
4705,Merterre,Ngo,Marseille,,France,"Marseille, , France"
4706,"Merzbach Group, Llc",Priv,Tenafly,,United States,"Tenafly, , United States"
4707,Mesoamerican Reef Tourism Initiative,Ngo,Playa Del Carmen,,Mexico,"Playa Del Carmen, , Mexico"
4708,Messe Düsseldorf Gmbh,Priv,Dusseldorf,,Germany,"Dusseldorf, , Germany"
4709,"Met Office Hadley Center, Uk",Sci,Devon,,United Kingdom,"Devon, , United Kingdom"
4710,Metabolic Foundation,Natgov,Oranjestad,,Aruba,"Oranjestad, , Aruba"
4711,Metameta,Ngo,Hertogenbosch,,Netherlands,"Hertogenbosch, , Netherlands"
4712,Métamorphose Outremers,Ngo,Montpellier,,France,"Montpellier, , France"
4713,Meterological Research Institute,Sci,Ibaraki,,Japan,"Ibaraki, , Japan"
4714,Metis Global Awareness Network,Ngo,Volos,,Greece,"Volos, , Greece"
4715,Metro Ag Wholesale & Food Specialist Company,Priv,Dusseldorf,,Germany,"Dusseldorf, , Germany"
4716,Metro Ag Wholesale And Food Specialist Company,Priv,Dusseldorf,,Germany,"Dusseldorf, , Germany"
4717,Metro Cebu Water District,Subgov,Cebu,,Philippines,"Cebu, , Philippines"
4718,Metro Iloilo Water District,Subgov,Ilolio,,Philippines,"Ilolio, , Philippines"
4719,Metro Mass Transit,Priv,Accra,,Ghana,"Accra, , Ghana"
4720,Metropolia University Of Applied Sciences,Acad,Helsinki,,Finland,"Helsinki, , Finland"
4721,Metropolis,Ngo,Barcelona,,Spain,"Barcelona, , Spain"
4722,Metropolitan Foundation,Ngo,Buenos Aires,,Argentina,"Buenos Aires, , Argentina"
4723,Metsa Group,Priv,Helsinki,,Finland,"Helsinki, , Finland"
4724,Metshallitus,Priv,Tikkurila,,Finland,"Tikkurila, , Finland"
4725,Mexican Association Of Ex-Participants Of The World Youth Boat,Ngo,Mexico City,,Mexico,"Mexico City, , Mexico"
4726,Mexican Environmental Law Center,Ngo,Mexico City,,Mexico,"Mexico City, , Mexico"
4727,"Mexican Foundation For Family Planning, A.C.",Ngo,Mexico City,,Mexico,"Mexico City, , Mexico"
4728,Mexican Foundation For Rural Development,Ngo,Mexico City,,Mexico,"Mexico City, , Mexico"
4729,"Mexican Fund For The Conservation Of Nature, A.C.",Sci,Mexico City,,Mexico,"Mexico City, , Mexico"
4730,Mexican Youth Network For The Environment,Ngo,Mexico City,,Mexico,"Mexico City, , Mexico"
4731,Mexico,Natgov,Mexico City,,Mexico,"Mexico City, , Mexico"
4732,Mexico City,Subgov,Mexico City,,Mexico,"Mexico City, , Mexico"
4733,Mexico Fundacio Acua,Ngo,Bogota,,Columbia,"Bogota, , Columbia"
4734,Mgm International,Priv,Miami,,United States,"Miami, , United States"
4735,Mhii Solutions,Priv,São João Da Madeira,,Portugal,"São João Da Madeira, , Portugal"
4736,Mib School Of Management,Acad,Trieste,,Italy,"Trieste, , Italy"
4737,Michel Serres Institute,Ngo,Lyon,,France,"Lyon, , France"
4738,Michela Cocchi - Studio Legale,Priv,Bologna,,Italy,"Bologna, , Italy"
4739,Microfinance Pasifika Network,Ngo,Brisbane,,Australia,"Brisbane, , Australia"
4740,Microgaz Llp,Priv,London,,United Kingdom,"London, , United Kingdom"
4741,Micronesia,Natgov,Palikir,,Micronesia,"Palikir, , Micronesia"
4742,Micronesia Conservation Trust,Ngo,Kolonia,,Micronesia,"Kolonia, , Micronesia"
4743,Micronesia Islands Forum Secretariat,Intergov,Koror,,Palau,"Koror, , Palau"
4744,Micronesian Image Institute,Ngo,Agat,,Guam,"Agat, , Guam"
4745,Microsoft,Priv,Redmond,,United States,"Redmond, , United States"
4746,Middle School Education Of Yene,Acad,Yene,,Senegal,"Yene, , Senegal"
4747,Middlesbrough,Subgov,Middlesbrough,,United Kingdom,"Middlesbrough, , United Kingdom"
4748,Mie University,Acad,Tsu,,Japan,"Tsu, , Japan"
4749,Migration And Development,Ngo,Marseille,,France,"Marseille, , France"
4750,Migros,Priv,Zurich,,Switzerland,"Zurich, , Switzerland"
4751,Mi'Kmakik Development Corporation,Priv,Truro Heights,,Canada,"Truro Heights, , Canada"
4752,Milan,Subgov,Milan,,Italy,"Milan, , Italy"
4753,Millennials Movement,Ngo,Lima,,Peru,"Lima, , Peru"
4754,Millennium Campus Network,Ngo,Boston,,United States,"Boston, , United States"
4755,Millennium Institute,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
4756,"Millennium Kids, Inc.",Priv,Yokine,,Australia,"Yokine, , Australia"
4757,Millimetric Astronomy Radio Institute,Sci,Grenoble,,France,"Grenoble, , France"
4758,Millipore Foundation,Ngo,Burlington (Ma),,United States,"Burlington (Ma), , United States"
4759,Milne Bay Provincial Administration,Subgov,Alotau,,Papua New Guinea,"Alotau, , Papua New Guinea"
4760,"Mind, Art, And Sound Of Kindred Intrinsic Org.",Ngo,Leyte,,Philippines,"Leyte, , Philippines"
4761,Mindanao State University,Acad,Marawi,,Philippines,"Marawi, , Philippines"
4762,Mineral Policy Institute - Australia,Ngo,Girrawheen,,Australia,"Girrawheen, , Australia"
4763,Minerales Monclova S.A. De C.V.,Priv,Monclova,,Mexico,"Monclova, , Mexico"
4764,Minerals Policy Institute,Ngo,Girrawheen,,Australia,"Girrawheen, , Australia"
4765,Mineresearch,Priv,Vancouver,,Canada,"Vancouver, , Canada"
4766,Mines Paristech,Acad,Paris,,France,"Paris, , France"
4767,Miriam College,Acad,Quezon City,,Philippines,"Quezon City, , Philippines"
4768,Misereor,Ngo,Aachen,,Germany,"Aachen, , Germany"
4770,Misool Foundation,Ngo,Raja Ampat,,Indonesia,"Raja Ampat, , Indonesia"
4771,Miss Heard Magazine,Priv,Crystal Beach,,United States,"Crystal Beach, , United States"
4772,Mission Blue,Ngo,Napa,,United States,"Napa, , United States"
4773,Mission Possible Foundation,Ngo,Mount Prospect,,United States,"Mount Prospect, , United States"
4774,Mission-Blue,Ngo,Napa,,United States,"Napa, , United States"
4775,Missions Publiques,Ngo,Paris,,France,"Paris, , France"
4776,Mit Press,Priv,Cambridge,,United States,"Cambridge, , United States"
4777,Mitchell Drilling,Priv,Seventeen Mile Rocks,,Australia,"Seventeen Mile Rocks, , Australia"
4778,Mitcon Consultancy Services Ltd,Priv,Pune,,India,"Pune, , India"
4779,Miti,Subgov,Miti,,Congo,"Miti, , Congo"
4780,Mitochondria Research Society,Ngo,Buffalo,,United States,"Buffalo, , United States"
4781,Mitra Emisi Bersih,Ngo,Jakarta,,Indonesia,"Jakarta, , Indonesia"
4782,Mitsubishi Chemical Holdings Corporation,Priv,Toyko,,Japan,"Toyko, , Japan"
4783,Mitsui And Company,Priv,Tokyo,,Japan,"Tokyo, , Japan"
4784,Miyagi University Of Education,Acad,Sendai,,Japan,"Sendai, , Japan"
4785,Mizuho Corporate Bank,Priv,Tokyo,,Japan,"Tokyo, , Japan"
4786,Mkrishi Fisheries,Priv,Mumbai,,India,"Mumbai, , India"
4787,Mnhn Museum National D'Histoire Naturelle,Sci,Paris,,France,"Paris, , France"
4788,Mo Ibrahim Foundation,Ngo,London,,United Kingdom,"London, , United Kingdom"
4789,Moana New Zealand,Priv,Auckland,,New Zealand,"Auckland, , New Zealand"
4790,Mobili-T,Ngo,Quebec,,Canada,"Quebec, , Canada"
4791,Moche,Ngo,Ciudad De Dios,,Peru,"Ciudad De Dios, , Peru"
4792,Modern Education And Social Cultural Organization,Ngo,Mumbai,,India,"Mumbai, , India"
4793,Mogale City,Subgov,Mogale City,,South Africa,"Mogale City, , South Africa"
4794,Moi University,Acad,Kesses,,Kenya,"Kesses, , Kenya"
4795,Moldova,Natgov,Chisinau,,Moldova,"Chisinau, , Moldova"
4796,Molson Coors,Priv,Denver,,United States,"Denver, , United States"
4797,Mom,Ngo,Athens,,Greece,"Athens, , Greece"
4798,Monaco,Natgov,Monte Carlo,,Monaco,"Monte Carlo, , Monaco"
4799,Monaco Impact,Ngo,Monaco,,Monaco,"Monaco, , Monaco"
4800,Monaco Telecom,Priv,Monaco,,Monaco,"Monaco, , Monaco"
4801,Mondaycoffee Ag,Priv,Opfikon,,Switzerland,"Opfikon, , Switzerland"
4802,Mondo,Ngo,Talinn,,Estonia,"Talinn, , Estonia"
4803,Monegasque Association For The Protection Of Nature,Ngo,Monaco,,Monaco,"Monaco, , Monaco"
4804,Money Stone,Priv,Gothenburg,,Sweden,"Gothenburg, , Sweden"
4805,Mongolia,Natgov,Ulaanbaatar,,Mongolia,"Ulaanbaatar, , Mongolia"
4806,Mongolian Academy Of Sciences,Sci,Ulaanbaatar,,Mongolia,"Ulaanbaatar, , Mongolia"
4807,Monitoramento Mirim Costeiro,Ngo,Garopaba,,Brazil,"Garopaba, , Brazil"
4808,Monmouth University,Acad,West Long Branch,,United States,"West Long Branch, , United States"
4809,Monreal Del Campo,Subgov,Monreal Del Campo,,Spain,"Monreal Del Campo, , Spain"
4810,Monreal Del Campo Public Library And Culture House,Ngo,Monreal Del Campo,,Spain,"Monreal Del Campo, , Spain"
4811,Monsanto,Priv,St. Louis,,United States,"St. Louis, , United States"
4812,Montauk Energy,Priv,Pittsburgh,,United States,"Pittsburgh, , United States"
4813,Mont-Blanc Meetings,Ngo,Paris,,France,"Paris, , France"
4814,Montecristo River Lodge,Priv,El Castillo,,Nicaragua,"El Castillo, , Nicaragua"
4815,Montenegro,Natgov,Podgorica,,Montenegro,"Podgorica, , Montenegro"
4816,Montepio Foundation,Ngo,Lisbon,,Portugal,"Lisbon, , Portugal"
4817,Monterey Bay Aquarium,Sci,Monterey,California,United States,"Monterey, California, United States"
4818,Monterrey Institute Of Technology And Higher Education,Acad,Monterrey,,Mexico,"Monterrey, , Mexico"
4819,Montesquieu University,Acad,Bordeaux,,France,"Bordeaux, , France"
4820,Montevideo,Subgov,Montevideo,,Uruguay,"Montevideo, , Uruguay"
4821,Montgomery Watson Harza,Priv,Broomfield,,United States,"Broomfield, , United States"
4822,Montpellier Business School,Acad,Montpellier,,France,"Montpellier, , France"
4823,Montpellier Supagro,Acad,Montpellier,,France,"Montpellier, , France"
4824,Montroix Pty Ltd,Priv,Hawker,,Australia,"Hawker, , Australia"
4825,Montserrat,Natgov,Brades,,Montserrat,"Brades, , Montserrat"
4826,Moore Foundation,Ngo,Palo Alto,,United States,"Palo Alto, , United States"
4827,Moray Council,Subgov,Elgin,,United Kingdom,"Elgin, , United Kingdom"
4828,Morigenos,Sci,Piran,,Slovenia,"Piran, , Slovenia"
4829,Moringa Research Farm,Sci,Beni Suef,,Egypt,"Beni Suef, , Egypt"
4830,Moris Rasik In East Timor,Priv,Dili,,Timor-Leste,"Dili, , Timor-Leste"
4831,Morning Of The Sahara,Priv,Casablanca,,Morocco,"Casablanca, , Morocco"
4832,Moroccan Club For Environment And Development,Ngo,Rabat,,Morocco,"Rabat, , Morocco"
4833,Morocco,Natgov,Rabat,,Morocco,"Rabat, , Morocco"
4834,Morona Santiago,Subgov,Macas,,Ecuador,"Macas, , Ecuador"
4835,Morse Associates Inc.,Priv,Scottsdale,,United States,"Scottsdale, , United States"
4836,Moscow Engineering Physics Institute,Acad,Moscow,,Russia,"Moscow, , Russia"
4837,Moscow State Institute Of International Relations,Acad,Moscow,,Russia,"Moscow, , Russia"
4838,Mosoqllacta,Subgov,Mosoqllacta,,Peru,"Mosoqllacta, , Peru"
4839,Mote Marine Laboratory,Ngo,Sarasota,,United States,"Sarasota, , United States"
4840,Mothers2mothers,Ngo,Cape Town,,South Africa,"Cape Town, , South Africa"
4841,Motivation,Ngo,Bristol,,United Kingdom,"Bristol, , United Kingdom"
4842,Mott Macdonald,Priv,Croydon,,United Kingdom,"Croydon, , United Kingdom"
4843,Mouchel Parkman Group,Priv,Woking,,United Kingdom,"Woking, , United Kingdom"
4844,Mountain Areas Conservation And Development Services,Ngo,Islamabad,,Pakistan,"Islamabad, , Pakistan"
4845,Mountain Environment Protection Society,Ngo,Tehran,,Iran,"Tehran, , Iran"
4846,Mountain Institute,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
4847,Mountain Research Initiative,Ngo,Bern,,Switzerland,"Bern, , Switzerland"
4848,Mountain Societies Development Support Program,Ngo,Osh,,Kyrgyzstan,"Osh, , Kyrgyzstan"
4849,Mountain Studies Institute,Ngo,Silverton,,United States,"Silverton, , United States"
4850,Mountains Of The Moon University,Acad,Fort Portal,,Uganda,"Fort Portal, , Uganda"
4851,Movimondo,Ngo,Guatemala City,,Guatemala,"Guatemala City, , Guatemala"
4852,Mozambique,Natgov,Maputo,,Mozambique,"Maputo, , Mozambique"
4853,Mozambique Wildlife And Biodiversity Institute,Sci,Matola,,Mozambique,"Matola, , Mozambique"
4854,Mozilla Foundation,Ngo,Mountain View,,United States,"Mountain View, , United States"
4855,Mpa Action Agenda And Mpa Action Group,Ngo,Zeist,,Netherlands,"Zeist, , Netherlands"
4856,Mpa Cement,Ngo,Blackwater,,United Kingdom,"Blackwater, , United Kingdom"
4857,Mpa Collaborative Network,Ngo,San Juan Capistrano,,United States,"San Juan Capistrano, , United States"
4858,Mr. Goodfish,Ngo,Boulogne-Sur-Mer,,France,"Boulogne-Sur-Mer, , France"
4859,Ms Education Academy,Acad,Hyderabad,,India,"Hyderabad, , India"
4860,Msc,Priv,Geneva,,Switzerland,"Geneva, , Switzerland"
4861,Mtn,Priv,Johannesburg,,South Africa,"Johannesburg, , South Africa"
4862,Mtn Foundation,Ngo,Lagos,,Nigeria,"Lagos, , Nigeria"
4863,Mudaka,Subgov,Mudaka,,Congo,"Mudaka, , Congo"
4864,Mujeres En Desarrollo Dominicana,Ngo,Santo Domingo,,Dominican Republic,"Santo Domingo, , Dominican Republic"
4865,Muktainagar Taluka Education Society,Acad,Jalgaon,,India,"Jalgaon, , India"
4866,Mulawarman University,Acad,Samarinda,,Indonesia,"Samarinda, , Indonesia"
4867,Multicultural New Zealand,Ngo,Wellington,,New Zealand,"Wellington, , New Zealand"
7937,Vinci,Priv,Rueil-Malmaison,,France,"Rueil-Malmaison, , France"
4868,Multiexport Foods S.A.,Priv,Puerto Montt,,Chile,"Puerto Montt, , Chile"
4869,Mumbai,Subgov,Mumbai,,India,"Mumbai, , India"
4870,Mundus Maris - Sciences And Arts For Sustainability Asbl,Ngo,Brussels,,Belgium,"Brussels, , Belgium"
4871,Mungu Fm Radio,Priv,Mongu,,Zambia,"Mongu, , Zambia"
4872,Munich,Subgov,Munich,,Germany,"Munich, , Germany"
4873,Munich Climate Insurance Initiative,Ngo,Bonn,,Germany,"Bonn, , Germany"
4874,"Municipal Federation Of Fishers, Farmers And Women Organizations Of Lavezares",Ngo,Lavezares,,Phillipines,"Lavezares, , Phillipines"
4875,Municipal Infrastructure Investment Unit,Priv,Midrand,,South Africa,"Midrand, , South Africa"
4876,Municipal Youth Advisory Council Of Oaxaca,Ngo,Oaxaca,,Mexico,"Oaxaca, , Mexico"
4877,Municipalidad Huanchaquito,Subgov,Huanchaquito,,Peru,"Huanchaquito, , Peru"
4878,Municipality Of Maio,Subgov,Maio,,Cape Verde,"Maio, , Cape Verde"
4879,Municipality Of Tirana,Subgov,Tirana,,Albania,"Tirana, , Albania"
4880,Municipality Of Xinjiang Uygur Autonomous Region,Subgov,Urumqi,,China,"Urumqi, , China"
4881,Municipio De García Nl,Subgov,Garcia,,Mexico,"Garcia, , Mexico"
4882,Muri Night Market,Priv,Avarua,,Cook Islands,"Avarua, , Cook Islands"
4883,Museums Victoria,Sci,Melbourne,,Australia,"Melbourne, , Australia"
4884,Muslim Family Counselling Services,Ngo,Kumasi,,Ghana,"Kumasi, , Ghana"
4885,Muslims Against Hunger,Ngo,Morristown,,United States,"Morristown, , United States"
4886,Musoma,Subgov,Musoma,,Tanzania,"Musoma, , Tanzania"
